payment_id,order_id,payment_date,payment_amount,payment_status
PAY000083,O000086,2024-03-19,1409.05,PAID
PAY000084,O000087,2024-03-12,12300.55,PARTIAL
PAY000085,O000088,2024-03-04,15221.87,PARTIAL
PAY000086,O000089,2024-03-30,9483.51,PARTIAL
PAY000087,O000090,2024-03-31,32587.43,PAID
PAY000088,O000091,2024-03-08,8602.85,PAID
PAY000089,O000093,2024-03-05,38606.88,PAID
PAY000090,O000094,2024-03-28,16690.63,PAID
PAY000091,O000095,2024-04-25,243466.5,PAID
PAY000092,O000096,2024-04-07,184988.04,PAID
PAY000093,O000098,2024-04-17,105924.52,PAID
PAY000094,O000099,2024-03-23,130019.57,PAID
PAY000095,O000100,2024-03-19,65363.91,PARTIAL
PAY000096,O000101,2024-04-09,205511.87,PAID
PAY000097,O000102,2024-04-02,45376.65,PAID
PAY000098,O000103,2024-04-11,6296.51,PAID
PAY000099,O000104,2024-03-27,10026.17,PAID
PAY000100,O000105,2024-03-26,42537.03,PAID
PAY000101,O000106,2024-04-04,8886.06,PARTIAL
PAY000102,O000107,2024-04-28,9440.65,PAID
PAY000103,O000108,2024-04-03,630.63,PAID
PAY000104,O000109,2024-04-21,50182.6,PAID
PAY000105,O000110,2024-03-24,9023.38,PAID
PAY000106,O000111,2024-04-15,6425.75,PAID
PAY000107,O000112,2024-04-08,6207.73,PAID
PAY000108,O000113,2024-04-17,28474.82,PAID
PAY000109,O000114,2024-04-02,27490.34,PAID
PAY000110,O000115,2024-04-01,14186.25,PAID
PAY000111,O000117,2024-04-02,28253.35,PAID
PAY000112,O000118,2024-04-06,11832.46,PAID
PAY000113,O000119,2024-04-22,6677.28,PAID
PAY000114,O000120,2024-04-21,83527.6,PAID
PAY000115,O000122,2024-03-29,25382.74,PAID
PAY000116,O000123,2024-03-17,145517.76,PAID
PAY000117,O000124,2024-03-26,546520.25,PAID
PAY000118,O000125,2024-04-19,309420.39,PAID
PAY000119,O000126,2024-04-15,25388.56,PAID
PAY000120,O000127,2024-04-06,30300.39,PAID
PAY000121,O000128,2024-04-28,42441.42,PAID
PAY000122,O000129,2024-04-10,15992.08,PARTIAL
PAY000123,O000130,2024-05-02,32488.73,PAID
PAY000124,O000131,2024-03-28,61329.21,PAID
PAY000125,O000132,2024-04-07,3233.08,PAID
PAY000126,O000133,2024-03-14,6520.16,PARTIAL
PAY000127,O000134,2024-03-30,6254.13,PARTIAL
PAY000128,O000135,2024-04-28,175053.75,PAID
PAY000129,O000136,2024-04-23,88019.79,PAID
PAY000130,O000137,2024-04-03,189659.83,PAID
PAY000131,O000138,2024-03-19,424302.68,PAID
PAY000132,O000139,2024-04-03,77446.64,PAID
PAY000133,O000140,2024-03-21,3899.83,PAID
PAY000134,O000141,2024-04-22,17655.75,PAID
PAY000135,O000142,2024-03-19,43663.19,PAID
PAY000136,O000143,2024-04-11,7751.21,PAID
PAY000137,O000144,2024-04-09,28340.82,PAID
PAY000138,O000146,2024-04-07,38850.7,PAID
PAY000139,O000147,2024-04-03,10938.03,PAID
PAY000140,O000148,2024-03-31,27043.86,PAID
PAY000141,O000149,2024-04-25,209063.12,PAID
PAY000142,O000150,2024-03-30,248511.76,PAID
PAY000143,O000151,2024-04-09,17802.09,PAID
PAY000144,O000152,2024-04-05,5999.07,PAID
PAY000145,O000153,2024-04-23,1694.02,PAID
PAY000146,O000155,2024-03-21,8630.15,PAID
PAY000147,O000156,2024-04-20,346366.83,PAID
PAY000148,O000157,2024-04-28,110109.42,PARTIAL
PAY000149,O000158,2024-05-09,59801.7,PAID
PAY000150,O000159,2024-05-07,70741.43,PAID
PAY000151,O000160,2024-04-29,71488.4,PARTIAL
PAY000152,O000161,2024-04-17,306717.8,PAID
PAY000153,O000162,2024-05-04,78457.43,PARTIAL
PAY000154,O000163,2024-05-07,21704.3,PAID
PAY000155,O000164,2024-05-28,21390.42,PAID
PAY000156,O000166,2024-05-26,22119.37,PARTIAL
PAY000157,O000167,2024-05-19,26158.23,PAID
PAY000158,O000168,2024-05-12,11016.28,PAID
PAY000159,O000169,2024-06-01,18201.21,PARTIAL
PAY000160,O000170,2024-04-14,17044.7,PARTIAL
PAY000161,O000171,2024-05-31,19440.21,PAID
PAY000162,O000172,2024-04-28,34560.22,PAID
PAY000163,O000173,2024-04-23,9948.97,PAID
PAY000164,O000174,2024-04-15,11372.44,PAID
PAY000165,O000175,2024-05-10,23659.68,PAID
PAY000166,O000176,2024-05-22,23099.78,PAID
PAY000167,O000177,2024-05-21,27563.31,PAID
PAY000168,O000178,2024-05-15,4496.35,PAID
PAY000169,O000179,2024-05-08,5863.39,PAID
PAY000170,O000180,2024-04-20,139654.62,PARTIAL
PAY000171,O000181,2024-04-24,72461.31,PAID
PAY000172,O000182,2024-04-30,119293.32,PAID
PAY000173,O000183,2024-05-16,7571.85,PAID
PAY000174,O000184,2024-05-09,122843.33,PAID
PAY000175,O000185,2024-04-19,41481.76,PAID
PAY000176,O000186,2024-04-27,34565.69,PAID
PAY000177,O000187,2024-05-12,15307.26,PAID
PAY000178,O000189,2024-05-06,22961.26,PARTIAL
PAY000179,O000190,2024-05-14,6562.03,PARTIAL
PAY000180,O000191,2024-04-21,9637.88,PARTIAL
PAY000181,O000192,2024-05-20,24562.42,PAID
PAY000182,O000193,2024-05-17,12735.94,PAID
PAY000183,O000194,2024-05-08,9791.88,PAID
PAY000184,O000195,2024-05-04,122678.55,PAID
PAY000185,O000196,2024-05-13,127948.42,PAID
PAY000186,O000198,2024-04-18,72188.61,PAID
PAY000187,O000199,2024-05-24,147195.14,PAID
PAY000188,O000200,2024-05-24,216882.82,PAID
PAY000189,O000201,2024-05-12,38300.32,PAID
PAY000190,O000202,2024-05-03,20988.85,PARTIAL
PAY000191,O000203,2024-05-09,16943.08,PAID
PAY000192,O000204,2024-04-30,15609.69,PARTIAL
PAY000193,O000205,2024-05-20,15141.73,PARTIAL
PAY000194,O000206,2024-05-24,19720.53,PARTIAL
PAY000195,O000208,2024-04-24,42495.49,PAID
PAY000196,O000209,2024-05-07,14606.63,PARTIAL
PAY000197,O000210,2024-04-19,7256.86,PAID
PAY000198,O000211,2024-04-16,18697.75,PAID
PAY000199,O000212,2024-04-25,15975.17,PAID
PAY000200,O000213,2024-04-23,35956.26,PARTIAL
PAY000201,O000214,2024-04-23,221369.39,PAID
PAY000202,O000215,2024-05-11,22533.5,PAID
PAY000203,O000216,2024-05-13,37098.32,PARTIAL
PAY000204,O000217,2024-05-13,38292.02,PAID
PAY000205,O000218,2024-04-26,6446.11,PAID
PAY000206,O000219,2024-05-11,9720.26,PARTIAL
PAY000207,O000220,2024-05-27,68221.27,PAID
PAY000208,O000221,2024-06-07,117806.24,PAID
PAY000209,O000222,2024-06-07,199005.7,PAID
PAY000210,O000224,2024-06-04,18557.09,PAID
PAY000211,O000225,2024-06-23,233877.61,PAID
PAY000212,O000226,2024-05-31,160817.36,PAID
PAY000213,O000227,2024-06-02,12816.15,PAID
PAY000214,O000228,2024-06-07,38877.53,PAID
PAY000215,O000229,2024-06-07,3991.41,PAID
PAY000216,O000230,2024-05-30,32942.8,PARTIAL
PAY000217,O000231,2024-05-21,45737.03,PAID
PAY000218,O000232,2024-06-07,19655.33,PARTIAL
PAY000219,O000233,2024-06-15,30839.67,PARTIAL
PAY000220,O000234,2024-06-21,1420.91,PAID
PAY000221,O000235,2024-06-12,10316.71,PARTIAL
PAY000222,O000236,2024-06-15,29026.15,PAID
PAY000223,O000238,2024-06-18,28671.31,PARTIAL
PAY000224,O000239,2024-06-08,19029.25,PAID
PAY000225,O000241,2024-06-14,15296.68,PARTIAL
PAY000226,O000242,2024-06-03,8387.08,PAID
PAY000227,O000243,2024-06-03,26826.78,PAID
PAY000228,O000244,2024-06-03,4358.06,PARTIAL
PAY000229,O000245,2024-06-18,24151.74,PAID
PAY000230,O000246,2024-06-06,80245.3,PAID
PAY000231,O000247,2024-06-16,79713.3,PAID
PAY000232,O000248,2024-06-07,160252.83,PAID
PAY000233,O000249,2024-06-11,136713.07,PARTIAL
PAY000234,O000250,2024-06-13,49345.76,PAID
PAY000235,O000251,2024-07-03,28292.66,PARTIAL
PAY000236,O000252,2024-06-05,41645.23,PAID
PAY000237,O000253,2024-05-28,45369.55,PAID
PAY000238,O000254,2024-05-28,41815.39,PAID
PAY000239,O000255,2024-06-07,12433.21,PARTIAL
PAY000240,O000256,2024-06-27,8199.54,PAID
PAY000241,O000257,2024-05-27,2921.11,PARTIAL
PAY000242,O000258,2024-06-06,11435.25,PARTIAL
PAY000243,O000259,2024-06-03,11693.81,PAID
PAY000244,O000260,2024-05-18,10656.0,PARTIAL
PAY000245,O000261,2024-06-05,233504.71,PAID
PAY000246,O000262,2024-06-12,145976.14,PAID
PAY000247,O000263,2024-05-16,127605.22,PARTIAL
PAY000248,O000264,2024-06-08,151794.14,PAID
PAY000249,O000266,2024-06-16,19792.33,PARTIAL
PAY000250,O000267,2024-06-13,8540.5,PAID
PAY000251,O000268,2024-06-12,16523.34,PAID
PAY000252,O000270,2024-05-28,44205.24,PAID
PAY000253,O000271,2024-06-12,22575.92,PAID
PAY000254,O000272,2024-05-28,13343.91,PAID
PAY000255,O000273,2024-06-25,20356.55,PAID
PAY000256,O000274,2024-06-10,6836.25,PARTIAL
PAY000257,O000275,2024-05-30,23628.75,PAID
PAY000258,O000276,2024-06-07,16256.78,PAID
PAY000259,O000277,2024-06-07,242247.1,PAID
PAY000260,O000278,2024-06-09,99016.69,PAID
PAY000261,O000279,2024-07-05,12256.73,PARTIAL
PAY000262,O000280,2024-06-28,37072.99,PAID
PAY000263,O000281,2024-07-01,41131.75,PAID
PAY000264,O000282,2024-06-23,1646.81,PAID
PAY000265,O000283,2024-07-05,213304.29,PAID
PAY000266,O000284,2024-06-17,142859.72,PAID
PAY000267,O000285,2024-07-01,58138.85,PAID
PAY000268,O000286,2024-06-25,165700.83,PAID
PAY000269,O000287,2024-07-18,187924.19,PARTIAL
PAY000270,O000288,2024-07-17,250359.94,PAID
PAY000271,O000289,2024-06-20,268383.0,PAID
PAY000272,O000291,2024-07-08,89650.78,PAID
PAY000273,O000292,2024-07-27,55076.0,PARTIAL
PAY000274,O000293,2024-07-14,25517.52,PAID
PAY000275,O000294,2024-07-14,38842.93,PAID
PAY000276,O000295,2024-07-28,10982.71,PARTIAL
PAY000277,O000296,2024-07-04,46733.37,PAID
PAY000278,O000297,2024-07-29,40724.24,PAID
PAY000279,O000298,2024-07-19,43831.4,PAID
PAY000280,O000299,2024-07-02,3904.38,PAID
PAY000281,O000300,2024-07-10,18473.68,PAID
PAY000282,O000301,2024-07-14,4195.1,PAID
PAY000283,O000302,2024-07-25,36508.48,PAID
PAY000284,O000303,2024-07-13,33730.83,PAID
PAY000285,O000304,2024-07-26,18967.67,PAID
PAY000286,O000305,2024-07-05,10218.06,PAID
PAY000287,O000308,2024-07-23,93012.24,PAID
PAY000288,O000309,2024-07-24,266094.2,PAID
PAY000289,O000310,2024-06-30,89399.86,PAID
PAY000290,O000311,2024-07-18,186669.61,PAID
PAY000291,O000312,2024-07-14,270354.62,PAID
PAY000292,O000313,2024-07-17,156899.9,PAID
PAY000293,O000314,2024-07-22,34229.66,PAID
PAY000294,O000315,2024-06-27,19298.49,PAID
PAY000295,O000316,2024-07-13,30668.56,PAID
PAY000296,O000317,2024-07-05,10347.91,PAID
PAY000297,O000318,2024-07-25,24520.41,PAID
PAY000298,O000319,2024-06-15,25570.59,PAID
PAY000299,O000320,2024-07-03,35418.21,PAID
PAY000300,O000322,2024-07-22,20656.38,PAID
PAY000301,O000323,2024-07-20,6479.28,PARTIAL
PAY000302,O000324,2024-07-24,12944.67,PARTIAL
PAY000303,O000325,2024-07-25,3293.74,PAID
PAY000304,O000326,2024-06-30,150509.08,PAID
PAY000305,O000327,2024-06-27,55504.81,PARTIAL
PAY000306,O000329,2024-06-20,221779.81,PAID
PAY000307,O000330,2024-06-19,51304.04,PARTIAL
PAY000308,O000331,2024-07-05,16454.48,PAID
PAY000309,O000332,2024-06-30,31073.91,PAID
PAY000310,O000333,2024-07-29,27467.59,PAID
PAY000311,O000334,2024-07-28,34047.12,PAID
PAY000312,O000335,2024-07-02,31835.46,PAID
PAY000313,O000336,2024-07-10,5441.26,PAID
PAY000314,O000337,2024-07-30,5411.77,PAID
PAY000315,O000338,2024-06-24,22323.86,PAID
PAY000316,O000339,2024-08-04,29648.67,PAID
PAY000317,O000340,2024-07-12,48550.66,PAID
PAY000318,O000341,2024-07-27,25243.79,PAID
PAY000319,O000342,2024-08-01,28018.82,PAID
PAY000320,O000343,2024-07-28,50486.65,PARTIAL
PAY000321,O000344,2024-07-28,172217.84,PAID
PAY000322,O000345,2024-07-07,22421.35,PAID
PAY000323,O000346,2024-07-02,11239.66,PARTIAL
PAY000324,O000347,2024-07-24,16564.18,PARTIAL
PAY000325,O000348,2024-08-06,6805.98,PAID
PAY000326,O000349,2024-08-13,92770.38,PAID
PAY000327,O000350,2024-08-15,87803.89,PAID
PAY000328,O000351,2024-08-21,157582.54,PAID
PAY000329,O000352,2024-07-15,114718.31,PARTIAL
PAY000330,O000353,2024-08-05,110747.99,PAID
PAY000331,O000354,2024-08-05,2339.69,PAID
PAY000332,O000355,2024-08-03,10843.67,PARTIAL
PAY000333,O000356,2024-07-24,25870.54,PAID
PAY000334,O000358,2024-08-15,39462.34,PAID
PAY000335,O000359,2024-08-03,43138.15,PAID
PAY000336,O000360,2024-08-16,19270.41,PAID
PAY000337,O000361,2024-07-26,12705.76,PAID
PAY000338,O000364,2024-08-21,12054.51,PAID
PAY000339,O000365,2024-07-27,9225.94,PAID
PAY000340,O000366,2024-08-02,12202.4,PARTIAL
PAY000341,O000367,2024-08-17,12839.06,PARTIAL
PAY000342,O000368,2024-08-04,17080.38,PAID
PAY000343,O000369,2024-08-06,8830.89,PARTIAL
PAY000344,O000370,2024-08-23,6499.82,PARTIAL
PAY000345,O000371,2024-09-02,143695.19,PAID
PAY000346,O000372,2024-08-05,182217.56,PAID
PAY000347,O000373,2024-08-06,66533.28,PAID
PAY000348,O000374,2024-08-29,193519.82,PAID
PAY000349,O000375,2024-07-14,3994.76,PAID
PAY000350,O000376,2024-07-26,21301.83,PAID
PAY000351,O000378,2024-09-03,21570.35,PARTIAL
PAY000352,O000379,2024-07-13,21253.96,PAID
PAY000353,O000380,2024-08-18,34844.04,PAID
PAY000354,O000381,2024-08-17,14298.18,PARTIAL
PAY000355,O000382,2024-08-02,2332.03,PAID
PAY000356,O000383,2024-07-20,17040.11,PARTIAL
PAY000357,O000384,2024-07-22,7937.17,PAID
PAY000358,O000385,2024-08-19,216375.77,PAID
PAY000359,O000386,2024-07-31,213822.04,PAID
PAY000360,O000387,2024-08-31,107538.63,PARTIAL
PAY000361,O000388,2024-08-17,360628.04,PAID
PAY000362,O000389,2024-07-20,510634.72,PAID
PAY000363,O000390,2024-09-01,11019.01,PARTIAL
PAY000364,O000391,2024-07-17,28457.84,PAID
PAY000365,O000392,2024-08-10,8774.71,PARTIAL
PAY000366,O000393,2024-08-19,2856.27,PARTIAL
PAY000367,O000394,2024-08-14,8674.1,PARTIAL
PAY000368,O000395,2024-08-08,6603.27,PAID
PAY000369,O000396,2024-08-27,26353.25,PAID
PAY000370,O000397,2024-07-22,13445.03,PAID
PAY000371,O000398,2024-07-27,23068.08,PAID
PAY000372,O000399,2024-08-22,12833.6,PAID
PAY000373,O000400,2024-07-26,29237.39,PAID
PAY000374,O000401,2024-08-08,15928.05,PAID
PAY000375,O000402,2024-07-21,7469.93,PAID
PAY000376,O000403,2024-08-15,29434.88,PAID
PAY000377,O000404,2024-07-22,18977.5,PAID
PAY000378,O000405,2024-09-12,150516.48,PARTIAL
PAY000379,O000406,2024-08-13,103811.35,PAID
PAY000380,O000407,2024-09-23,79488.53,PARTIAL
PAY000381,O000408,2024-09-09,446344.76,PAID
PAY000382,O000409,2024-09-03,124309.46,PAID
PAY000383,O000410,2024-09-13,106474.58,PARTIAL
PAY000384,O000411,2024-09-11,255847.36,PAID
PAY000385,O000412,2024-09-04,178825.77,PAID
PAY000386,O000413,2024-09-11,362394.12,PAID
PAY000387,O000414,2024-08-15,7803.29,PAID
PAY000388,O000415,2024-08-28,65369.92,PAID
PAY000389,O000416,2024-08-25,40702.79,PAID
PAY000390,O000417,2024-08-19,26634.88,PAID
PAY000391,O000418,2024-09-19,40776.59,PAID
PAY000392,O000419,2024-09-01,24474.45,PAID
PAY000393,O000420,2024-08-24,23695.76,PAID
PAY000394,O000421,2024-09-04,25925.33,PAID
PAY000395,O000422,2024-09-22,12876.13,PAID
PAY000396,O000423,2024-08-18,13332.44,PAID
PAY000397,O000424,2024-09-11,14099.25,PAID
PAY000398,O000425,2024-08-29,17260.95,PAID
PAY000399,O000426,2024-09-02,8419.7,PARTIAL
PAY000400,O000427,2024-08-27,9635.86,PAID
PAY000401,O000428,2024-09-25,298436.37,PAID
PAY000402,O000429,2024-10-03,76019.49,PAID
PAY000403,O000430,2024-09-28,214599.33,PAID
PAY000404,O000431,2024-09-24,176271.92,PAID
PAY000405,O000434,2024-09-20,23284.95,PAID
PAY000406,O000435,2024-09-15,64960.31,PAID
PAY000407,O000436,2024-08-30,19884.03,PAID
PAY000408,O000437,2024-09-29,17097.87,PAID
PAY000409,O000438,2024-09-09,42262.04,PAID
PAY000410,O000439,2024-09-03,36062.64,PAID
PAY000411,O000440,2024-09-12,35316.64,PAID
PAY000412,O000441,2024-08-30,34810.55,PAID
PAY000413,O000442,2024-09-16,7133.89,PAID
PAY000414,O000443,2024-09-20,55264.76,PAID
PAY000415,O000444,2024-09-11,27276.33,PAID
PAY000416,O000445,2024-09-14,113634.66,PARTIAL
PAY000417,O000446,2024-09-11,252508.41,PAID
PAY000418,O000447,2024-09-10,433.45,PARTIAL
PAY000419,O000448,2024-09-11,38758.95,PARTIAL
PAY000420,O000449,2024-09-10,4982.3,PARTIAL
PAY000421,O000450,2024-09-02,6681.45,PARTIAL
PAY000422,O000451,2024-09-07,12566.16,PAID
PAY000423,O000452,2024-09-08,47524.27,PAID
PAY000424,O000453,2024-09-09,25309.65,PAID
PAY000425,O000454,2024-09-19,21162.01,PARTIAL
PAY000426,O000455,2024-09-04,20698.67,PAID
PAY000427,O000456,2024-09-29,9355.15,PARTIAL
PAY000428,O000457,2024-09-07,32285.76,PARTIAL
PAY000429,O000458,2024-09-10,21605.81,PAID
PAY000430,O000459,2024-09-10,41229.34,PAID
PAY000431,O000460,2024-09-05,6457.61,PARTIAL
PAY000432,O000461,2024-08-13,14433.96,PAID
PAY000433,O000462,2024-10-15,92732.21,PARTIAL
PAY000434,O000463,2024-09-20,221056.03,PAID
PAY000435,O000464,2024-10-01,33300.61,PAID
PAY000436,O000465,2024-10-21,87796.3,PAID
PAY000437,O000466,2024-10-20,38838.95,PAID
PAY000438,O000467,2024-10-08,267257.58,PAID
PAY000439,O000468,2024-10-07,223439.27,PAID
PAY000440,O000469,2024-10-07,51725.26,PAID
PAY000441,O000470,2024-10-12,486524.6,PAID
PAY000442,O000471,2024-09-30,35876.42,PAID
PAY000443,O000472,2024-10-07,20111.81,PAID
PAY000444,O000473,2024-10-14,21049.38,PAID
PAY000445,O000474,2024-10-13,9728.87,PARTIAL
PAY000446,O000475,2024-10-24,17889.31,PARTIAL
PAY000447,O000476,2024-10-05,56895.96,PAID
PAY000448,O000477,2024-10-23,4831.0,PAID
PAY000449,O000478,2024-10-06,14313.92,PARTIAL
PAY000450,O000479,2024-10-08,12911.33,PAID
PAY000451,O000480,2024-10-12,19740.58,PAID
PAY000452,O000481,2024-10-21,59064.4,PAID
PAY000453,O000482,2024-09-29,19821.03,PARTIAL
PAY000454,O000484,2024-09-19,20377.84,PAID
PAY000455,O000485,2024-10-05,28848.47,PAID
PAY000456,O000486,2024-10-01,20968.9,PAID
PAY000457,O000487,2024-10-22,15675.79,PAID
PAY000458,O000488,2024-10-27,12593.32,PAID
PAY000459,O000489,2024-10-10,7669.86,PARTIAL
PAY000460,O000490,2024-10-16,90558.72,PAID
PAY000461,O000492,2024-10-01,3799.53,PAID
PAY000462,O000494,2024-10-13,371325.82,PAID
PAY000463,O000495,2024-10-18,426903.77,PAID
PAY000464,O000496,2024-10-15,21007.02,PAID
PAY000465,O000497,2024-10-09,25011.66,PAID
PAY000466,O000498,2024-10-14,4933.58,PARTIAL
PAY000467,O000499,2024-10-18,30334.18,PAID
PAY000468,O000500,2024-10-07,16814.93,PAID
PAY000469,O000501,2024-10-16,12292.25,PARTIAL
PAY000470,O000502,2024-10-18,15498.86,PARTIAL
PAY000471,O000503,2024-10-01,32071.53,PAID
PAY000472,O000504,2024-09-23,22346.27,PAID
PAY000473,O000505,2024-10-01,28314.13,PAID
PAY000474,O000506,2024-10-17,30817.9,PAID
PAY000475,O000507,2024-09-26,6100.98,PAID
PAY000476,O000508,2024-09-14,15737.54,PARTIAL
PAY000477,O000509,2024-10-12,19681.09,PAID
PAY000478,O000510,2024-10-03,8646.5,PAID
PAY000479,O000511,2024-10-08,141725.86,PAID
PAY000480,O000512,2024-10-11,226600.67,PAID
PAY000481,O000513,2024-10-08,75815.23,PAID
PAY000482,O000514,2024-10-13,246070.5,PAID
PAY000483,O000515,2024-09-23,53683.04,PAID
PAY000484,O000516,2024-09-30,259115.35,PAID
PAY000485,O000519,2024-10-05,30324.16,PAID
PAY000486,O000520,2024-10-18,16868.5,PAID
PAY000487,O000521,2024-09-25,52930.71,PAID
PAY000488,O000522,2024-10-22,3706.56,PAID
PAY000489,O000523,2024-09-14,33032.71,PAID
PAY000490,O000524,2024-11-01,32906.02,PAID
PAY000491,O000525,2024-09-28,7479.79,PAID
PAY000492,O000526,2024-10-31,10525.57,PAID
PAY000493,O000527,2024-11-07,19282.62,PAID
PAY000494,O000528,2024-09-28,170568.13,PAID
PAY000495,O000529,2024-10-20,198296.5,PAID
PAY000496,O000530,2024-10-12,448540.62,PAID
PAY000497,O000531,2024-10-20,13511.64,PARTIAL
PAY000498,O000532,2024-10-11,34990.77,PAID
PAY000499,O000533,2024-09-14,8349.33,PAID
PAY000500,O000534,2024-10-19,6829.34,PAID
PAY000501,O000535,2024-10-12,9628.27,PAID
PAY000502,O000537,2024-10-26,75453.7,PARTIAL
PAY000503,O000538,2024-10-30,49128.68,PARTIAL
PAY000504,O000539,2024-11-28,91707.7,PAID
PAY000505,O000540,2024-11-12,137082.6,PAID
PAY000506,O000541,2024-10-26,493876.69,PAID
PAY000507,O000542,2024-11-12,153134.34,PAID
PAY000508,O000543,2024-11-20,48593.02,PARTIAL
PAY000509,O000545,2024-10-24,19541.57,PARTIAL
PAY000510,O000546,2024-10-28,46743.48,PAID
PAY000511,O000547,2024-11-10,13545.6,PARTIAL
PAY000512,O000548,2024-11-11,3135.94,PARTIAL
PAY000513,O000549,2024-10-29,16256.95,PAID
PAY000514,O000550,2024-11-04,26404.09,PAID
PAY000515,O000551,2024-12-01,9274.78,PAID
PAY000516,O000552,2024-11-24,17270.7,PAID
PAY000517,O000553,2024-11-26,3098.75,PAID
PAY000518,O000554,2024-11-11,17581.62,PARTIAL
PAY000519,O000555,2024-11-06,21999.23,PAID
PAY000520,O000556,2024-10-26,8160.82,PAID
PAY000521,O000557,2024-11-17,5676.58,PAID
PAY000522,O000558,2024-11-14,4323.14,PARTIAL
PAY000523,O000559,2024-11-11,1639.29,PAID
