order_id,customer_id,order_date,order_status,sales_rep_id,channel_id
O000053,C0003,2024-02-04,COMPLETED,SR001,PHARMACY
O000054,C0009,2024-02-08,COMPLETED,SR001,CLINIC
O000055,C0009,2024-02-18,COMPLETED,SR006,HOSPITAL
O000056,C0009,2024-02-18,COMPLETED,SR004,HOSPITAL
O000057,C0009,2024-02-19,COMPLETED,SR006,PHARMACY
O000058,C0013,2024-02-05,COMPLETED,SR005,PHARMACY
O000059,C0016,2024-02-08,COMPLETED,SR001,HOSPITAL
O000060,C0009,2024-02-26,COMPLETED,SR004,HOSPITAL
O000061,C0026,2024-02-17,COMPLETED,SR003,CLINIC
O000062,C0014,2024-02-07,COMPLETED,SR005,CLINIC
O000063,C0027,2024-02-27,COMPLETED,SR005,CLINIC
O000064,C0001,2024-02-10,COMPLETED,SR003,HOSPITAL
O000065,C0019,2024-02-06,COMPLETED,SR005,HOSPITAL
O000066,C0003,2024-02-19,COMPLETED,SR003,CLINIC
O000067,C0041,2024-02-19,COMPLETED,SR012,CLINIC
O000068,C0039,2024-02-15,COMPLETED,SR007,CLINIC
O000069,C0047,2024-02-05,COMPLETED,SR010,PHARMACY
O000070,C0031,2024-02-19,COMPLETED,SR011,HOSPITAL
O000071,C0033,2024-02-13,COMPLETED,SR010,CLINIC
O000072,C0047,2024-02-09,CANCELLED,SR011,HOSPITAL
O000073,C0040,2024-02-05,COMPLETED,SR007,HOSPITAL
O000074,C0044,2024-02-14,COMPLETED,SR008,HOSPITAL
O000075,C0031,2024-02-04,COMPLETED,SR007,CLINIC
O000076,C0059,2024-02-12,COMPLETED,SR009,CLINIC
O000077,C0057,2024-02-28,COMPLETED,SR011,PHARMACY
O000078,C0057,2024-02-17,COMPLETED,SR008,CLINIC
O000079,C0078,2024-02-28,COMPLETED,SR013,CLINIC
O000080,C0081,2024-02-06,COMPLETED,SR017,CLINIC
O000081,C0070,2024-02-06,COMPLETED,SR015,PHARMACY
O000082,C0086,2024-02-11,COMPLETED,SR018,CLINIC
O000083,C0086,2024-02-02,COMPLETED,SR015,CLINIC
O000084,C0090,2024-02-14,COMPLETED,SR015,PHARMACY
O000085,C0077,2024-02-13,COMPLETED,SR016,CLINIC
O000086,C0075,2024-02-23,COMPLETED,SR016,PHARMACY
O000087,C0068,2024-02-16,COMPLETED,SR018,HOSPITAL
O000088,C0076,2024-02-04,COMPLETED,SR015,CLINIC
O000089,C0076,2024-02-27,COMPLETED,SR014,PHARMACY
O000090,C0073,2024-02-27,COMPLETED,SR018,CLINIC
O000091,C0089,2024-02-11,COMPLETED,SR016,CLINIC
O000092,C0113,2024-02-08,CANCELLED,SR021,PHARMACY
O000093,C0110,2024-02-22,COMPLETED,SR024,HOSPITAL
O000094,C0110,2024-02-17,COMPLETED,SR024,PHARMACY
O000095,C0028,2024-03-24,COMPLETED,SR006,HOSPITAL
O000096,C0020,2024-03-23,COMPLETED,SR006,CLINIC
O000097,C0021,2024-03-12,CANCELLED,SR006,HOSPITAL
O000098,C0009,2024-03-13,COMPLETED,SR003,HOSPITAL
O000099,C0007,2024-03-07,COMPLETED,SR005,HOSPITAL
O000100,C0003,2024-03-07,COMPLETED,SR003,CLINIC
O000101,C0026,2024-03-07,COMPLETED,SR001,HOSPITAL
O000102,C0026,2024-03-04,COMPLETED,SR005,PHARMACY
O000103,C0025,2024-03-10,COMPLETED,SR004,PHARMACY
O000104,C0027,2024-03-10,COMPLETED,SR005,HOSPITAL
O000105,C0024,2024-03-15,COMPLETED,SR004,PHARMACY
O000106,C0011,2024-03-16,COMPLETED,SR005,HOSPITAL
O000107,C0013,2024-03-24,COMPLETED,SR003,CLINIC
O000108,C0025,2024-03-02,COMPLETED,SR005,CLINIC
O000109,C0027,2024-03-27,COMPLETED,SR005,CLINIC
O000110,C0028,2024-03-06,COMPLETED,SR004,CLINIC
O000111,C0005,2024-03-14,COMPLETED,SR004,CLINIC
O000112,C0021,2024-03-23,COMPLETED,SR002,HOSPITAL
O000113,C0026,2024-03-08,COMPLETED,SR006,PHARMACY
O000114,C0014,2024-03-21,COMPLETED,SR002,PHARMACY
O000115,C0011,2024-03-20,COMPLETED,SR006,CLINIC
O000116,C0013,2024-03-04,CANCELLED,SR003,PHARMACY
O000117,C0026,2024-03-07,COMPLETED,SR005,HOSPITAL
O000118,C0009,2024-03-20,COMPLETED,SR004,PHARMACY
O000119,C0026,2024-03-13,COMPLETED,SR001,CLINIC
O000120,C0056,2024-03-28,COMPLETED,SR007,CLINIC
O000121,C0052,2024-03-20,CANCELLED,SR011,CLINIC
O000122,C0048,2024-03-13,COMPLETED,SR011,CLINIC
O000123,C0056,2024-03-01,COMPLETED,SR010,CLINIC
O000124,C0052,2024-03-10,COMPLETED,SR009,PHARMACY
O000125,C0054,2024-03-19,COMPLETED,SR012,PHARMACY
O000126,C0040,2024-03-19,COMPLETED,SR009,HOSPITAL
O000127,C0059,2024-03-11,COMPLETED,SR012,CLINIC
O000128,C0053,2024-03-27,COMPLETED,SR007,HOSPITAL
O000129,C0032,2024-03-01,COMPLETED,SR011,HOSPITAL
O000130,C0032,2024-03-24,COMPLETED,SR010,PHARMACY
O000131,C0051,2024-03-17,COMPLETED,SR007,HOSPITAL
O000132,C0044,2024-03-27,COMPLETED,SR012,CLINIC
O000133,C0031,2024-03-01,COMPLETED,SR011,PHARMACY
O000134,C0039,2024-03-14,COMPLETED,SR011,CLINIC
O000135,C0081,2024-03-23,COMPLETED,SR015,PHARMACY
O000136,C0081,2024-03-23,COMPLETED,SR013,HOSPITAL
O000137,C0070,2024-03-06,COMPLETED,SR015,HOSPITAL
O000138,C0081,2024-03-02,COMPLETED,SR014,CLINIC
O000139,C0076,2024-03-08,COMPLETED,SR013,PHARMACY
O000140,C0076,2024-03-10,COMPLETED,SR017,HOSPITAL
O000141,C0085,2024-03-20,COMPLETED,SR016,CLINIC
O000142,C0087,2024-03-04,COMPLETED,SR017,CLINIC
O000143,C0072,2024-03-24,COMPLETED,SR014,HOSPITAL
O000144,C0080,2024-03-15,COMPLETED,SR015,CLINIC
O000145,C0084,2024-03-23,CANCELLED,SR016,HOSPITAL
O000146,C0069,2024-03-04,COMPLETED,SR013,HOSPITAL
O000147,C0077,2024-03-20,COMPLETED,SR015,CLINIC
O000148,C0073,2024-03-21,COMPLETED,SR018,CLINIC
O000149,C0094,2024-03-24,COMPLETED,SR019,HOSPITAL
O000150,C0099,2024-03-10,COMPLETED,SR019,HOSPITAL
O000151,C0097,2024-03-15,COMPLETED,SR020,CLINIC
O000152,C0110,2024-03-03,COMPLETED,SR019,PHARMACY
O000153,C0097,2024-03-27,COMPLETED,SR019,PHARMACY
O000154,C0092,2024-03-12,CANCELLED,SR023,CLINIC
O000155,C0115,2024-03-07,COMPLETED,SR020,CLINIC
O000156,C0028,2024-04-09,COMPLETED,SR002,CLINIC
O000157,C0023,2024-04-04,COMPLETED,SR002,HOSPITAL
O000158,C0027,2024-04-22,COMPLETED,SR001,HOSPITAL
O000159,C0009,2024-04-05,COMPLETED,SR003,CLINIC
O000160,C0020,2024-04-15,COMPLETED,SR006,PHARMACY
O000161,C0019,2024-04-04,COMPLETED,SR005,CLINIC
O000162,C0028,2024-04-02,COMPLETED,SR004,HOSPITAL
O000163,C0002,2024-04-20,COMPLETED,SR005,HOSPITAL
O000164,C0011,2024-04-24,COMPLETED,SR006,HOSPITAL
O000165,C0021,2024-04-27,CANCELLED,SR006,PHARMACY
O000166,C0011,2024-04-16,COMPLETED,SR002,CLINIC
O000167,C0007,2024-04-10,COMPLETED,SR001,CLINIC
O000168,C0028,2024-04-23,COMPLETED,SR003,PHARMACY
O000169,C0018,2024-04-22,COMPLETED,SR001,CLINIC
O000170,C0014,2024-04-01,COMPLETED,SR004,HOSPITAL
O000171,C0017,2024-04-26,COMPLETED,SR005,CLINIC
O000172,C0011,2024-04-18,COMPLETED,SR002,CLINIC
O000173,C0014,2024-04-07,COMPLETED,SR001,HOSPITAL
O000174,C0026,2024-04-03,COMPLETED,SR003,HOSPITAL
O000175,C0028,2024-04-23,COMPLETED,SR004,CLINIC
O000176,C0028,2024-04-24,COMPLETED,SR006,HOSPITAL
O000177,C0009,2024-04-16,COMPLETED,SR004,HOSPITAL
O000178,C0026,2024-04-16,COMPLETED,SR006,HOSPITAL
O000179,C0003,2024-04-05,COMPLETED,SR006,HOSPITAL
O000180,C0057,2024-04-07,COMPLETED,SR012,CLINIC
O000181,C0056,2024-04-08,COMPLETED,SR007,PHARMACY
O000182,C0052,2024-04-09,COMPLETED,SR010,PHARMACY
O000183,C0043,2024-04-26,COMPLETED,SR009,CLINIC
O000184,C0043,2024-04-09,COMPLETED,SR011,HOSPITAL
O000185,C0040,2024-04-08,COMPLETED,SR008,PHARMACY
O000186,C0044,2024-04-02,COMPLETED,SR012,HOSPITAL
O000187,C0047,2024-04-24,COMPLETED,SR012,CLINIC
O000188,C0046,2024-04-19,CANCELLED,SR008,CLINIC
O000189,C0059,2024-04-13,COMPLETED,SR007,CLINIC
O000190,C0053,2024-04-07,COMPLETED,SR011,PHARMACY
O000191,C0043,2024-04-08,COMPLETED,SR011,HOSPITAL
O000192,C0038,2024-04-27,COMPLETED,SR012,PHARMACY
O000193,C0043,2024-04-26,COMPLETED,SR007,HOSPITAL
O000194,C0031,2024-04-06,COMPLETED,SR010,PHARMACY
O000195,C0087,2024-04-18,COMPLETED,SR013,PHARMACY
O000196,C0078,2024-04-24,COMPLETED,SR016,PHARMACY
O000197,C0081,2024-04-13,CANCELLED,SR013,CLINIC
O000198,C0081,2024-04-02,COMPLETED,SR018,HOSPITAL
O000199,C0081,2024-04-18,COMPLETED,SR016,HOSPITAL
O000200,C0070,2024-04-25,COMPLETED,SR018,HOSPITAL
O000201,C0090,2024-04-06,COMPLETED,SR018,CLINIC
O000202,C0062,2024-04-15,COMPLETED,SR014,HOSPITAL
O000203,C0084,2024-04-23,COMPLETED,SR014,PHARMACY
O000204,C0077,2024-04-20,COMPLETED,SR017,HOSPITAL
O000205,C0077,2024-04-19,COMPLETED,SR013,HOSPITAL
O000206,C0074,2024-04-27,COMPLETED,SR014,CLINIC
O000207,C0083,2024-04-19,CANCELLED,SR016,PHARMACY
O000208,C0063,2024-04-03,COMPLETED,SR018,PHARMACY
O000209,C0076,2024-04-26,COMPLETED,SR015,PHARMACY
O000210,C0076,2024-04-06,COMPLETED,SR013,PHARMACY
O000211,C0073,2024-04-05,COMPLETED,SR014,HOSPITAL
O000212,C0075,2024-04-01,COMPLETED,SR017,PHARMACY
O000213,C0116,2024-04-06,COMPLETED,SR019,HOSPITAL
O000214,C0110,2024-04-06,COMPLETED,SR020,PHARMACY
O000215,C0091,2024-04-25,COMPLETED,SR022,HOSPITAL
O000216,C0107,2024-04-05,COMPLETED,SR024,PHARMACY
O000217,C0105,2024-04-11,COMPLETED,SR023,PHARMACY
O000218,C0094,2024-04-16,COMPLETED,SR019,PHARMACY
O000219,C0119,2024-04-14,COMPLETED,SR021,CLINIC
O000220,C0028,2024-05-15,COMPLETED,SR004,CLINIC
O000221,C0020,2024-05-18,COMPLETED,SR006,PHARMACY
O000222,C0020,2024-05-19,COMPLETED,SR003,PHARMACY
O000223,C0008,2024-05-27,CANCELLED,SR001,PHARMACY
O000224,C0009,2024-05-18,COMPLETED,SR005,PHARMACY
O000225,C0026,2024-05-15,COMPLETED,SR002,PHARMACY
O000226,C0002,2024-05-04,COMPLETED,SR005,PHARMACY
O000227,C0016,2024-05-14,COMPLETED,SR006,CLINIC
O000228,C0018,2024-05-04,COMPLETED,SR003,PHARMACY
O000229,C0007,2024-05-28,COMPLETED,SR002,HOSPITAL
O000230,C0007,2024-05-02,COMPLETED,SR006,HOSPITAL
O000231,C0011,2024-05-02,COMPLETED,SR005,PHARMACY
O000232,C0016,2024-05-15,COMPLETED,SR006,PHARMACY
O000233,C0013,2024-05-28,COMPLETED,SR004,HOSPITAL
O000234,C0020,2024-05-18,COMPLETED,SR004,PHARMACY
O000235,C0027,2024-05-05,COMPLETED,SR003,PHARMACY
O000236,C0011,2024-05-11,COMPLETED,SR005,HOSPITAL
O000237,C0026,2024-05-16,CANCELLED,SR004,CLINIC
O000238,C0027,2024-05-10,COMPLETED,SR006,PHARMACY
O000239,C0028,2024-05-23,COMPLETED,SR001,PHARMACY
O000240,C0013,2024-05-24,CANCELLED,SR005,PHARMACY
O000241,C0028,2024-05-23,COMPLETED,SR004,PHARMACY
O000242,C0019,2024-05-07,COMPLETED,SR001,PHARMACY
O000243,C0025,2024-05-14,COMPLETED,SR003,CLINIC
O000244,C0019,2024-05-06,COMPLETED,SR002,PHARMACY
O000245,C0041,2024-05-17,COMPLETED,SR009,HOSPITAL
O000246,C0048,2024-05-05,COMPLETED,SR010,CLINIC
O000247,C0041,2024-05-22,COMPLETED,SR007,CLINIC
O000248,C0048,2024-05-05,COMPLETED,SR009,CLINIC
O000249,C0037,2024-05-25,COMPLETED,SR008,PHARMACY
O000250,C0031,2024-05-16,COMPLETED,SR007,CLINIC
O000251,C0050,2024-05-27,COMPLETED,SR009,PHARMACY
O000252,C0045,2024-05-07,COMPLETED,SR009,CLINIC
O000253,C0052,2024-05-17,COMPLETED,SR012,HOSPITAL
O000254,C0052,2024-05-01,COMPLETED,SR007,HOSPITAL
O000255,C0051,2024-05-22,COMPLETED,SR007,HOSPITAL
O000256,C0047,2024-05-26,COMPLETED,SR009,HOSPITAL
O000257,C0038,2024-05-02,COMPLETED,SR011,HOSPITAL
O000258,C0044,2024-05-07,COMPLETED,SR007,PHARMACY
O000259,C0039,2024-05-07,COMPLETED,SR011,PHARMACY
O000260,C0059,2024-05-08,COMPLETED,SR010,HOSPITAL
O000261,C0078,2024-05-06,COMPLETED,SR013,HOSPITAL
O000262,C0078,2024-05-20,COMPLETED,SR017,HOSPITAL
O000263,C0080,2024-05-02,COMPLETED,SR016,CLINIC
O000264,C0086,2024-05-02,COMPLETED,SR018,HOSPITAL
O000265,C0081,2024-05-08,CANCELLED,SR016,PHARMACY
O000266,C0067,2024-05-25,COMPLETED,SR017,CLINIC
O000267,C0061,2024-05-09,COMPLETED,SR015,PHARMACY
O000268,C0089,2024-05-06,COMPLETED,SR015,PHARMACY
O000269,C0084,2024-05-24,CANCELLED,SR016,PHARMACY
O000270,C0073,2024-05-18,COMPLETED,SR014,PHARMACY
O000271,C0084,2024-05-24,COMPLETED,SR016,CLINIC
O000272,C0083,2024-05-12,COMPLETED,SR014,CLINIC
O000273,C0066,2024-05-25,COMPLETED,SR015,CLINIC
O000274,C0072,2024-05-14,COMPLETED,SR014,HOSPITAL
O000275,C0073,2024-05-14,COMPLETED,SR014,HOSPITAL
O000276,C0072,2024-05-04,COMPLETED,SR013,PHARMACY
O000277,C0114,2024-05-04,COMPLETED,SR023,CLINIC
O000278,C0099,2024-05-13,COMPLETED,SR020,CLINIC
O000279,C0102,2024-05-26,COMPLETED,SR019,HOSPITAL
O000280,C0093,2024-05-19,COMPLETED,SR021,CLINIC
O000281,C0115,2024-05-24,COMPLETED,SR023,CLINIC
O000282,C0115,2024-05-20,COMPLETED,SR020,PHARMACY
O000283,C0007,2024-06-02,COMPLETED,SR006,CLINIC
O000284,C0021,2024-06-02,COMPLETED,SR006,CLINIC
O000285,C0007,2024-06-02,COMPLETED,SR006,PHARMACY
O000286,C0008,2024-06-01,COMPLETED,SR006,CLINIC
O000287,C0020,2024-06-18,COMPLETED,SR006,HOSPITAL
O000288,C0020,2024-06-20,COMPLETED,SR004,HOSPITAL
O000289,C0023,2024-06-05,COMPLETED,SR002,CLINIC
O000290,C0026,2024-06-09,CANCELLED,SR002,CLINIC
O000291,C0026,2024-06-22,COMPLETED,SR005,HOSPITAL
O000292,C0009,2024-06-21,COMPLETED,SR001,CLINIC
O000293,C0023,2024-06-27,COMPLETED,SR001,HOSPITAL
O000294,C0009,2024-06-24,COMPLETED,SR004,CLINIC
O000295,C0024,2024-06-18,COMPLETED,SR001,HOSPITAL
O000296,C0024,2024-06-24,COMPLETED,SR003,HOSPITAL
O000297,C0009,2024-06-21,COMPLETED,SR003,HOSPITAL
O000298,C0007,2024-06-20,COMPLETED,SR001,HOSPITAL
O000299,C0017,2024-06-13,COMPLETED,SR006,PHARMACY
O000300,C0028,2024-06-20,COMPLETED,SR001,CLINIC
O000301,C0026,2024-06-24,COMPLETED,SR002,CLINIC
O000302,C0021,2024-06-21,COMPLETED,SR004,HOSPITAL
O000303,C0020,2024-06-11,COMPLETED,SR004,PHARMACY
O000304,C0015,2024-06-28,COMPLETED,SR006,PHARMACY
O000305,C0001,2024-06-18,COMPLETED,SR002,PHARMACY
O000306,C0001,2024-06-01,CANCELLED,SR002,HOSPITAL
O000307,C0024,2024-06-17,CANCELLED,SR001,PHARMACY
O000308,C0052,2024-06-21,COMPLETED,SR008,CLINIC
O000309,C0039,2024-06-25,COMPLETED,SR009,HOSPITAL
O000310,C0039,2024-06-17,COMPLETED,SR012,CLINIC
O000311,C0047,2024-06-11,COMPLETED,SR009,HOSPITAL
O000312,C0052,2024-06-10,COMPLETED,SR008,CLINIC
O000313,C0052,2024-06-21,COMPLETED,SR007,CLINIC
O000314,C0045,2024-06-22,COMPLETED,SR007,CLINIC
O000315,C0035,2024-06-10,COMPLETED,SR007,PHARMACY
O000316,C0041,2024-06-09,COMPLETED,SR011,HOSPITAL
O000317,C0049,2024-06-15,COMPLETED,SR011,HOSPITAL
O000318,C0042,2024-06-19,COMPLETED,SR012,HOSPITAL
O000319,C0032,2024-06-02,COMPLETED,SR012,CLINIC
O000320,C0044,2024-06-06,COMPLETED,SR011,CLINIC
O000321,C0038,2024-06-25,CANCELLED,SR010,CLINIC
O000322,C0053,2024-06-23,COMPLETED,SR012,CLINIC
O000323,C0032,2024-06-18,COMPLETED,SR010,PHARMACY
O000324,C0047,2024-06-18,COMPLETED,SR012,HOSPITAL
O000325,C0059,2024-06-25,COMPLETED,SR008,CLINIC
O000326,C0080,2024-06-06,COMPLETED,SR013,HOSPITAL
O000327,C0080,2024-06-05,COMPLETED,SR015,HOSPITAL
O000328,C0070,2024-06-23,CANCELLED,SR014,CLINIC
O000329,C0070,2024-06-06,COMPLETED,SR016,CLINIC
O000330,C0070,2024-06-02,COMPLETED,SR018,PHARMACY
O000331,C0087,2024-06-09,COMPLETED,SR016,HOSPITAL
O000332,C0079,2024-06-04,COMPLETED,SR015,HOSPITAL
O000333,C0061,2024-06-21,COMPLETED,SR014,HOSPITAL
O000334,C0086,2024-06-18,COMPLETED,SR015,HOSPITAL
O000335,C0086,2024-06-18,COMPLETED,SR016,HOSPITAL
O000336,C0084,2024-06-08,COMPLETED,SR013,PHARMACY
O000337,C0076,2024-06-28,COMPLETED,SR015,HOSPITAL
O000338,C0067,2024-06-07,COMPLETED,SR016,HOSPITAL
O000339,C0083,2024-06-26,COMPLETED,SR015,PHARMACY
O000340,C0072,2024-06-22,COMPLETED,SR014,PHARMACY
O000341,C0067,2024-06-21,COMPLETED,SR014,PHARMACY
O000342,C0072,2024-06-23,COMPLETED,SR015,PHARMACY
O000343,C0109,2024-06-25,COMPLETED,SR022,PHARMACY
O000344,C0095,2024-06-21,COMPLETED,SR022,PHARMACY
O000345,C0116,2024-06-20,COMPLETED,SR021,HOSPITAL
O000346,C0094,2024-06-09,COMPLETED,SR023,CLINIC
O000347,C0092,2024-06-22,COMPLETED,SR020,CLINIC
O000348,C0117,2024-06-28,COMPLETED,SR023,CLINIC
O000349,C0003,2024-07-21,COMPLETED,SR003,HOSPITAL
O000350,C0020,2024-07-15,COMPLETED,SR001,PHARMACY
O000351,C0007,2024-07-22,COMPLETED,SR005,PHARMACY
O000352,C0002,2024-07-04,COMPLETED,SR001,PHARMACY
O000353,C0009,2024-07-11,COMPLETED,SR003,HOSPITAL
O000354,C0007,2024-07-11,COMPLETED,SR003,HOSPITAL
O000355,C0027,2024-07-20,COMPLETED,SR004,PHARMACY
O000356,C0014,2024-07-08,COMPLETED,SR002,HOSPITAL
O000357,C0028,2024-07-17,CANCELLED,SR003,CLINIC
O000358,C0021,2024-07-15,COMPLETED,SR006,CLINIC
O000359,C0013,2024-07-21,COMPLETED,SR006,HOSPITAL
O000360,C0013,2024-07-17,COMPLETED,SR005,PHARMACY
O000361,C0002,2024-07-16,COMPLETED,SR006,HOSPITAL
O000362,C0020,2024-07-11,CANCELLED,SR006,PHARMACY
O000363,C0014,2024-07-17,CANCELLED,SR004,PHARMACY
O000364,C0021,2024-07-13,COMPLETED,SR004,PHARMACY
O000365,C0011,2024-07-06,COMPLETED,SR001,HOSPITAL
O000366,C0009,2024-07-16,COMPLETED,SR006,CLINIC
O000367,C0013,2024-07-27,COMPLETED,SR004,HOSPITAL
O000368,C0001,2024-07-17,COMPLETED,SR005,PHARMACY
O000369,C0026,2024-07-11,COMPLETED,SR003,PHARMACY
O000370,C0024,2024-07-24,COMPLETED,SR001,CLINIC
O000371,C0039,2024-07-28,COMPLETED,SR007,CLINIC
O000372,C0048,2024-07-09,COMPLETED,SR010,PHARMACY
O000373,C0037,2024-07-25,COMPLETED,SR008,HOSPITAL
O000374,C0051,2024-07-26,COMPLETED,SR008,CLINIC
O000375,C0047,2024-07-02,COMPLETED,SR009,CLINIC
O000376,C0044,2024-07-12,COMPLETED,SR008,PHARMACY
O000377,C0043,2024-07-20,CANCELLED,SR007,HOSPITAL
O000378,C0045,2024-07-25,COMPLETED,SR011,CLINIC
O000379,C0044,2024-07-03,COMPLETED,SR011,HOSPITAL
O000380,C0041,2024-07-21,COMPLETED,SR011,HOSPITAL
O000381,C0059,2024-07-12,COMPLETED,SR010,HOSPITAL
O000382,C0043,2024-07-01,COMPLETED,SR010,CLINIC
O000383,C0053,2024-07-02,COMPLETED,SR011,CLINIC
O000384,C0047,2024-07-04,COMPLETED,SR012,PHARMACY
O000385,C0080,2024-07-27,COMPLETED,SR017,CLINIC
O000386,C0081,2024-07-19,COMPLETED,SR018,HOSPITAL
O000387,C0078,2024-07-23,COMPLETED,SR017,PHARMACY
O000388,C0089,2024-07-28,COMPLETED,SR017,PHARMACY
O000389,C0076,2024-07-06,COMPLETED,SR013,CLINIC
O000390,C0075,2024-07-24,COMPLETED,SR015,HOSPITAL
O000391,C0086,2024-07-05,COMPLETED,SR014,CLINIC
O000392,C0090,2024-07-21,COMPLETED,SR017,CLINIC
O000393,C0079,2024-07-10,COMPLETED,SR015,CLINIC
O000394,C0072,2024-07-06,COMPLETED,SR015,CLINIC
O000395,C0069,2024-07-28,COMPLETED,SR014,HOSPITAL
O000396,C0084,2024-07-22,COMPLETED,SR017,PHARMACY
O000397,C0068,2024-07-08,COMPLETED,SR017,PHARMACY
O000398,C0077,2024-07-16,COMPLETED,SR016,CLINIC
O000399,C0070,2024-07-21,COMPLETED,SR014,HOSPITAL
O000400,C0099,2024-07-10,COMPLETED,SR023,HOSPITAL
O000401,C0112,2024-07-08,COMPLETED,SR021,CLINIC
O000402,C0119,2024-07-05,COMPLETED,SR020,PHARMACY
O000403,C0097,2024-07-13,COMPLETED,SR020,PHARMACY
O000404,C0115,2024-07-02,COMPLETED,SR023,PHARMACY
O000405,C0023,2024-08-12,COMPLETED,SR003,HOSPITAL
O000406,C0007,2024-08-01,COMPLETED,SR005,CLINIC
O000407,C0027,2024-08-15,COMPLETED,SR006,HOSPITAL
O000408,C0003,2024-08-09,COMPLETED,SR002,CLINIC
O000409,C0027,2024-08-17,COMPLETED,SR006,CLINIC
O000410,C0003,2024-08-24,COMPLETED,SR001,PHARMACY
O000411,C0028,2024-08-08,COMPLETED,SR004,HOSPITAL
O000412,C0019,2024-08-21,COMPLETED,SR005,CLINIC
O000413,C0009,2024-08-26,COMPLETED,SR003,PHARMACY
O000414,C0011,2024-08-01,COMPLETED,SR005,CLINIC
O000415,C0024,2024-08-14,COMPLETED,SR001,PHARMACY
O000416,C0025,2024-08-05,COMPLETED,SR006,HOSPITAL
O000417,C0009,2024-08-01,COMPLETED,SR002,PHARMACY
O000418,C0025,2024-08-13,COMPLETED,SR004,PHARMACY
O000419,C0011,2024-08-21,COMPLETED,SR005,PHARMACY
O000420,C0015,2024-08-13,COMPLETED,SR001,PHARMACY
O000421,C0013,2024-08-19,COMPLETED,SR004,CLINIC
O000422,C0010,2024-08-24,COMPLETED,SR005,CLINIC
