order_item_id,order_id,product_id,quantity,unit_price,discount_amount,net_amount
OI0000158,O000083,P013,42,206.62,190.32,8487.72
OI0000159,O000083,P015,28,249.38,492.82,6489.82
OI0000160,O000084,P017,74,295.35,2397.28,19458.62
OI0000161,O000084,P017,59,278.74,1751.06,14694.6
OI0000162,O000085,P013,116,211.81,2313.43,22256.53
OI0000163,O000085,P017,54,287.24,160.21,15350.75
OI0000164,O000085,P015,14,267.29,254.98,3487.08
OI0000165,O000086,P015,6,263.89,174.29,1409.05
OI0000166,O000087,P019,54,138.09,510.23,6946.63
OI0000167,O000087,P024,84,214.71,1985.38,16050.26
OI0000168,O000088,P022,119,217.57,2537.4,23353.43
OI0000169,O000089,P021,116,215.15,680.29,24277.11
OI0000170,O000090,P030,86,145.96,1002.4,11550.16
OI0000171,O000090,P030,111,158.05,664.05,16879.5
OI0000172,O000090,P028,35,121.8,105.23,4157.77
OI0000173,O000091,P028,84,110.87,710.23,8602.85
OI0000174,O000092,P006,10,1153.07,310.39,11220.31
OI0000175,O000093,P016,5,118.16,1.51,589.29
OI0000176,O000093,P018,64,269.56,1188.21,16063.63
OI0000177,O000093,P018,89,257.04,922.6,21953.96
OI0000178,O000094,P022,80,218.57,794.97,16690.63
OI0000179,O000095,P005,80,972.62,5981.35,71828.25
OI0000180,O000095,P002,91,1734.06,3322.55,154476.91
OI0000181,O000095,P001,11,1621.12,670.98,17161.34
OI0000182,O000096,P001,83,1572.06,14260.13,116220.85
OI0000183,O000096,P006,9,1209.09,170.2,10711.61
OI0000184,O000096,P001,35,1679.1,712.92,58055.58
OI0000185,O000097,P001,97,1686.07,4212.17,159336.62
OI0000186,O000097,P004,28,1616.54,2406.55,42856.57
OI0000187,O000098,P006,102,1144.48,10812.44,105924.52
OI0000188,O000099,P002,69,1958.4,5110.03,130019.57
OI0000189,O000100,P004,114,1499.87,19020.76,151964.42
OI0000190,O000101,P009,19,2069.88,683.91,38643.81
OI0000191,O000101,P009,45,2062.49,7979.47,84832.58
OI0000192,O000101,P007,48,1715.78,321.96,82035.48
OI0000193,O000102,P010,28,1776.21,4357.23,45376.65
OI0000194,O000103,P017,25,274.11,556.24,6296.51
OI0000195,O000104,P016,83,127.82,582.89,10026.17
OI0000196,O000105,P013,69,188.86,584.82,12446.52
OI0000197,O000105,P015,59,281.94,473.53,16160.93
OI0000198,O000105,P018,60,250.19,1081.82,13929.58
OI0000199,O000106,P013,96,190.19,322.98,17935.26
OI0000200,O000106,P014,31,190.94,312.4,5606.74
OI0000201,O000107,P013,49,205.98,652.37,9440.65
OI0000202,O000108,P016,5,129.91,18.92,630.63
OI0000203,O000109,P018,84,272.21,1248.27,21617.37
OI0000204,O000109,P015,88,280.31,2033.32,22633.96
OI0000205,O000109,P018,25,253.93,416.98,5931.27
OI0000206,O000110,P016,71,127.53,31.25,9023.38
OI0000207,O000111,P021,31,229.63,692.78,6425.75
OI0000208,O000112,P019,47,142.23,477.08,6207.73
OI0000209,O000113,P019,113,129.66,852.41,13799.17
OI0000210,O000113,P020,66,229.24,454.19,14675.65
OI0000211,O000114,P021,20,218.33,5.7,4360.9
OI0000212,O000114,P020,69,235.19,1279.01,14949.1
OI0000213,O000114,P024,46,199.53,998.04,8180.34
OI0000214,O000115,P021,46,217.23,1169.84,8822.74
OI0000215,O000115,P019,47,127.41,624.76,5363.51
OI0000216,O000116,P022,52,228.28,162.44,11708.12
OI0000217,O000116,P020,88,217.51,482.96,18657.92
OI0000218,O000116,P021,78,237.09,2110.5,16382.52
OI0000219,O000117,P028,91,121.83,294.9,10791.63
OI0000220,O000117,P027,43,90.0,250.9,3619.1
OI0000221,O000117,P026,94,156.69,886.24,13842.62
OI0000222,O000118,P030,90,148.8,1559.54,11832.46
OI0000223,O000119,P025,37,198.88,681.28,6677.28
OI0000224,O000120,P006,9,1226.65,1178.58,9861.27
OI0000225,O000120,P003,97,822.6,6125.87,73666.33
OI0000226,O000121,P001,22,1671.16,2450.36,34315.16
OI0000227,O000122,P001,18,1550.6,2528.06,25382.74
OI0000228,O000123,P004,12,1512.29,78.39,18069.09
OI0000229,O000123,P004,11,1493.96,133.47,16300.09
OI0000230,O000123,P004,73,1614.01,6674.15,111148.58
OI0000231,O000124,P009,115,2023.31,24202.22,208478.43
OI0000232,O000124,P012,82,2073.48,1002.87,169022.49
OI0000233,O000124,P009,94,2010.13,19932.89,169019.33
OI0000234,O000125,P010,71,1661.66,13284.22,104693.64
OI0000235,O000125,P011,25,2259.61,5611.76,50878.49
OI0000236,O000125,P011,78,2146.76,13599.02,153848.26
OI0000237,O000126,P017,44,294.82,1034.49,11937.59
OI0000238,O000126,P013,7,187.26,108.03,1202.79
OI0000239,O000126,P014,70,183.08,567.42,12248.18
OI0000240,O000127,P017,111,270.8,935.61,29123.19
OI0000241,O000127,P014,6,202.56,38.16,1177.2
OI0000242,O000128,P018,103,284.57,1319.02,27991.69
OI0000243,O000128,P016,56,116.04,100.57,6397.67
OI0000244,O000128,P013,43,202.63,661.03,8052.06
OI0000245,O000129,P022,40,229.63,46.54,9138.66
OI0000246,O000129,P021,60,223.25,71.83,13323.17
OI0000247,O000129,P019,16,143.82,103.45,2197.67
OI0000248,O000130,P021,53,233.83,645.91,11747.08
OI0000249,O000130,P019,21,139.75,143.99,2790.76
OI0000250,O000130,P022,91,216.91,1787.92,17950.89
OI0000251,O000131,P023,118,211.58,2633.73,22332.71
OI0000252,O000131,P021,79,214.02,114.19,16793.39
OI0000253,O000131,P021,108,206.82,133.45,22203.11
OI0000254,O000132,P021,15,234.45,283.67,3233.08
OI0000255,O000133,P026,16,161.36,249.48,2332.28
OI0000256,O000133,P029,31,121.79,36.39,3739.1
OI0000257,O000133,P030,77,163.27,707.71,11864.08
OI0000258,O000134,P028,93,115.09,782.74,9920.63
OI0000259,O000134,P028,41,109.83,331.35,4171.68
OI0000260,O000135,P005,24,1012.03,780.93,23507.79
OI0000261,O000135,P004,35,1639.36,3681.01,53696.59
OI0000262,O000135,P003,115,867.39,1900.48,97849.37
OI0000263,O000136,P004,25,1522.39,3363.13,34696.62
OI0000264,O000136,P001,39,1471.79,4076.64,53323.17
OI0000265,O000137,P005,10,1046.96,444.38,10025.22
OI0000266,O000137,P005,37,1027.9,1431.07,36601.23
OI0000267,O000137,P001,96,1599.27,10496.54,143033.38
OI0000268,O000138,P012,99,2169.89,23751.19,191067.92
OI0000269,O000138,P010,105,1777.9,8414.7,178264.8
OI0000270,O000138,P007,35,1618.44,1675.44,54969.96
OI0000271,O000139,P010,44,1775.68,683.28,77446.64
OI0000272,O000140,P015,16,258.9,242.57,3899.83
OI0000273,O000141,P018,69,267.79,821.76,17655.75
OI0000274,O000142,P016,83,118.88,1007.16,8859.88
OI0000275,O000142,P017,114,271.15,1154.0,29757.1
OI0000276,O000142,P017,19,272.02,122.17,5046.21
OI0000277,O000143,P019,16,129.49,115.41,1956.43
OI0000278,O000143,P019,49,124.36,298.86,5794.78
OI0000279,O000144,P019,81,134.21,111.5,10759.51
OI0000280,O000144,P022,57,234.61,940.94,12431.83
OI0000281,O000144,P019,40,138.73,399.72,5149.48
OI0000282,O000145,P020,102,223.15,936.51,21824.79
OI0000283,O000145,P022,34,223.85,306.54,7304.36
OI0000284,O000146,P020,42,226.41,767.9,8741.32
OI0000285,O000146,P020,53,245.88,743.19,12288.45
OI0000286,O000146,P021,88,218.95,1446.67,17820.93
OI0000287,O000147,P027,94,93.08,144.52,8605.0
OI0000288,O000147,P027,25,97.86,113.47,2333.03
OI0000289,O000148,P026,108,171.33,447.03,18056.61
OI0000290,O000148,P025,13,214.03,236.55,2545.84
OI0000291,O000148,P026,42,173.85,860.29,6441.41
OI0000292,O000149,P004,67,1505.25,750.21,100101.54
OI0000293,O000149,P004,78,1577.32,14069.38,108961.58
OI0000294,O000150,P003,83,917.13,4093.14,72028.65
OI0000295,O000150,P001,15,1501.48,55.46,22466.74
OI0000296,O000150,P004,101,1619.86,9589.49,154016.37
OI0000297,O000151,P017,69,290.9,2270.01,17802.09
OI0000298,O000152,P018,24,279.57,710.61,5999.07
OI0000299,O000153,P024,8,214.88,25.02,1694.02
OI0000300,O000154,P021,54,216.72,331.03,11371.85
OI0000301,O000155,P028,79,111.33,164.92,8630.15
OI0000302,O000156,P004,67,1534.59,8174.21,94643.32
OI0000303,O000156,P002,54,1994.73,8928.94,98786.48
OI0000304,O000156,P004,111,1503.47,13948.14,152937.03
OI0000305,O000157,P001,77,1582.49,14393.94,107457.79
OI0000306,O000157,P006,61,1149.28,5982.21,64123.87
OI0000307,O000158,P005,68,962.66,5659.18,59801.7
OI0000308,O000159,P003,92,798.7,2738.97,70741.43
OI0000309,O000160,P003,16,833.12,1277.49,12052.43
OI0000310,O000160,P002,16,1789.4,3307.48,25322.92
OI0000311,O000160,P002,56,1895.67,10447.2,95710.32
OI0000312,O000161,P007,100,1642.42,13761.29,150480.71
OI0000313,O000161,P010,86,1546.53,5468.84,127532.74
OI0000314,O000161,P011,14,2317.95,3746.95,28704.35
OI0000315,O000162,P011,59,2182.87,14250.22,114539.11
OI0000316,O000163,P007,15,1495.64,730.3,21704.3
OI0000317,O000164,P018,30,272.46,196.24,7977.56
OI0000318,O000164,P013,73,202.35,1358.69,13412.86
OI0000319,O000165,P018,39,270.48,874.21,9674.51
OI0000320,O000165,P016,109,122.83,1344.93,12043.54
OI0000321,O000165,P015,78,272.2,449.09,20782.51
OI0000322,O000166,P017,86,276.58,252.24,23533.64
OI0000323,O000166,P013,41,185.09,477.41,7111.28
OI0000324,O000166,P015,46,251.05,88.86,11459.44
OI0000325,O000167,P017,92,298.78,1329.53,26158.23
OI0000326,O000168,P017,25,278.94,793.76,6179.74
OI0000327,O000168,P013,27,191.28,328.02,4836.54
OI0000328,O000169,P017,78,280.79,1037.74,20863.88
OI0000329,O000169,P015,89,262.38,1701.45,21650.37
OI0000330,O000170,P020,110,225.39,952.6,23840.3
OI0000331,O000170,P022,13,234.59,361.05,2688.62
OI0000332,O000171,P021,92,213.45,197.19,19440.21
OI0000333,O000172,P020,22,232.03,8.25,5096.41
OI0000334,O000172,P022,95,209.04,500.91,19357.89
OI0000335,O000172,P022,53,212.22,1141.74,10105.92
OI0000336,O000173,P022,24,227.95,572.34,4898.46
OI0000337,O000173,P019,42,136.51,682.91,5050.51
OI0000338,O000174,P021,56,224.27,1186.68,11372.44
OI0000339,O000175,P023,20,217.24,334.55,4010.25
OI0000340,O000175,P024,90,199.01,17.73,17893.17
OI0000341,O000175,P019,14,137.14,163.7,1756.26
OI0000342,O000176,P023,103,218.44,698.42,21800.9
OI0000343,O000176,P019,11,127.39,102.41,1298.88
OI0000344,O000177,P020,54,244.04,1158.87,12019.29
OI0000345,O000177,P024,87,195.01,1421.85,15544.02
OI0000346,O000178,P028,42,115.12,338.69,4496.35
OI0000347,O000179,P029,29,133.99,29.04,3856.67
OI0000348,O000179,P028,17,120.98,49.94,2006.72
OI0000349,O000180,P005,38,1017.12,1832.02,36818.54
OI0000350,O000180,P004,120,1613.47,13364.71,180251.69
OI0000351,O000181,P001,50,1595.01,7289.19,72461.31
OI0000352,O000182,P005,72,960.45,7936.82,61215.58
OI0000353,O000182,P003,51,903.72,5250.45,40839.27
OI0000354,O000182,P005,20,973.92,2239.93,17238.47
OI0000355,O000183,P007,5,1603.7,446.65,7571.85
OI0000356,O000184,P008,69,1541.55,8399.45,97967.5
OI0000357,O000184,P007,15,1674.2,237.17,24875.83
OI0000358,O000185,P014,112,179.92,135.61,20015.43
OI0000359,O000185,P013,31,206.54,17.02,6385.72
OI0000360,O000185,P015,56,287.23,1004.27,15080.61
OI0000361,O000186,P013,20,187.69,107.28,3646.52
OI0000362,O000186,P016,88,117.62,787.14,9563.42
OI0000363,O000186,P017,82,294.84,2821.13,21355.75
OI0000364,O000187,P018,38,289.28,1255.24,9737.4
OI0000365,O000187,P018,9,258.1,130.11,2192.79
OI0000366,O000187,P017,13,269.1,121.23,3377.07
OI0000367,O000188,P015,55,262.26,97.52,14326.78
OI0000368,O000188,P013,61,187.0,5.99,11401.01
OI0000369,O000188,P018,90,284.2,1384.91,24193.09
OI0000370,O000189,P021,109,207.51,1419.51,21199.08
OI0000371,O000189,P023,109,202.33,306.67,21747.3
OI0000372,O000190,P024,91,196.27,1517.72,16342.85
OI0000373,O000191,P020,64,239.81,356.39,14991.45
OI0000374,O000192,P021,115,234.59,2415.43,24562.42
OI0000375,O000193,P029,52,118.15,675.21,5468.59
OI0000376,O000193,P026,47,174.73,944.96,7267.35
OI0000377,O000194,P026,69,158.12,1118.4,9791.88
OI0000378,O000195,P004,87,1421.3,5303.01,118350.09
OI0000379,O000195,P005,5,977.97,561.39,4328.46
OI0000380,O000196,P006,107,1295.83,10705.39,127948.42
OI0000381,O000197,P005,105,1003.63,7418.88,97962.27
OI0000382,O000197,P002,32,1858.64,2102.9,57373.58
OI0000383,O000197,P004,113,1522.29,1619.73,170399.04
OI0000384,O000198,P002,42,1824.09,4423.17,72188.61
OI0000385,O000199,P012,73,2166.81,10981.99,147195.14
OI0000386,O000200,P011,73,2074.22,7208.51,144209.55
OI0000387,O000200,P010,51,1601.45,9000.68,72673.27
OI0000388,O000201,P015,98,262.93,2672.29,23094.85
OI0000389,O000201,P018,62,256.07,670.87,15205.47
OI0000390,O000202,P017,73,301.77,1441.4,20587.81
OI0000391,O000202,P015,90,266.6,274.05,23719.95
OI0000392,O000203,P017,20,310.51,688.31,5521.89
OI0000393,O000203,P013,49,211.04,536.16,9804.8
OI0000394,O000203,P018,6,290.76,128.17,1616.39
OI0000395,O000204,P017,99,292.63,232.7,28737.67
OI0000396,O000204,P015,18,260.98,401.97,4295.67
OI0000397,O000205,P016,60,125.61,76.12,7460.48
OI0000398,O000205,P016,37,123.83,9.49,4572.22
OI0000399,O000205,P015,63,281.31,1463.93,16258.6
OI0000400,O000206,P023,92,224.1,866.86,19750.34
OI0000401,O000206,P022,39,241.46,1059.99,8356.95
OI0000402,O000206,P021,91,232.98,136.12,21065.06
OI0000403,O000207,P019,56,143.54,430.54,7607.7
OI0000404,O000208,P022,108,214.93,812.13,22400.31
OI0000405,O000208,P024,67,211.81,1327.44,12863.83
OI0000406,O000208,P022,34,236.96,825.29,7231.35
OI0000407,O000209,P020,98,252.91,2715.93,22069.25
OI0000408,O000210,P020,32,242.45,501.54,7256.86
OI0000409,O000211,P026,115,172.93,1189.2,18697.75
OI0000410,O000212,P026,111,163.44,2166.67,15975.17
OI0000411,O000213,P001,21,1607.97,2085.12,31682.25
OI0000412,O000213,P004,47,1626.08,8537.4,67888.36
OI0000413,O000214,P010,73,1734.41,1332.84,125279.09
OI0000414,O000214,P009,48,2093.95,4419.3,96090.3
OI0000415,O000215,P016,97,113.55,338.73,10675.62
OI0000416,O000215,P013,70,190.03,1444.22,11857.88
OI0000417,O000216,P018,98,263.55,2668.38,23159.52
OI0000418,O000216,P013,71,193.15,566.85,13146.8
OI0000419,O000216,P013,120,193.58,2447.2,20782.4
OI0000420,O000217,P020,96,252.31,244.66,23977.1
OI0000421,O000217,P019,85,131.63,1150.82,10037.73
OI0000422,O000217,P023,20,216.24,47.61,4277.19
OI0000423,O000218,P020,32,221.98,657.25,6446.11
OI0000424,O000219,P028,89,123.47,513.15,10475.68
OI0000425,O000219,P027,91,93.05,902.53,7565.02
OI0000426,O000219,P030,14,151.52,120.81,2000.47
OI0000427,O000220,P006,27,1213.74,1765.91,31005.07
OI0000428,O000220,P005,40,1022.44,3681.4,37216.2
OI0000429,O000221,P004,7,1496.72,629.46,9847.58
OI0000430,O000221,P005,117,941.06,2145.36,107958.66
OI0000431,O000222,P001,101,1675.05,9140.05,160040.0
OI0000432,O000222,P006,36,1186.58,3751.18,38965.7
OI0000433,O000223,P005,81,1011.95,5397.85,76570.1
OI0000434,O000223,P006,100,1276.88,11560.24,116127.76
OI0000435,O000224,P003,23,817.27,240.12,18557.09
OI0000436,O000225,P009,56,1918.93,9288.46,98171.62
OI0000437,O000225,P011,33,2179.66,4051.49,67877.29
OI0000438,O000225,P007,42,1694.44,3337.78,67828.7
OI0000439,O000226,P009,78,2092.57,2403.1,160817.36
OI0000440,O000227,P013,36,192.62,149.07,6785.25
OI0000441,O000227,P016,57,117.6,672.3,6030.9
OI0000442,O000228,P013,54,190.08,574.92,9689.4
OI0000443,O000228,P017,56,305.79,661.04,16463.2
OI0000444,O000228,P015,51,283.02,1709.09,12724.93
OI0000445,O000229,P016,36,114.75,139.59,3991.41
OI0000446,O000230,P014,27,174.92,31.39,4691.45
OI0000447,O000230,P018,83,272.87,158.2,22490.01
OI0000448,O000230,P017,73,294.86,643.97,20880.81
OI0000449,O000231,P014,96,199.1,540.14,18573.46
OI0000450,O000231,P017,77,279.47,2130.35,19388.84
OI0000451,O000231,P015,32,269.8,858.87,7774.73
OI0000452,O000232,P018,114,282.27,2353.84,29824.94
OI0000453,O000232,P013,105,192.53,97.97,20117.68
OI0000454,O000233,P014,68,186.53,710.61,11973.43
OI0000455,O000233,P013,116,213.73,800.13,23992.55
OI0000456,O000233,P018,117,283.16,2627.3,30502.42
OI0000457,O000234,P019,12,126.32,94.93,1420.91
OI0000458,O000235,P023,67,225.14,297.48,14786.9
OI0000459,O000235,P024,20,225.2,32.76,4471.24
OI0000460,O000236,P019,15,140.17,36.75,2065.8
OI0000461,O000236,P024,79,221.2,167.66,17307.14
OI0000462,O000236,P023,48,214.94,663.91,9653.21
OI0000463,O000237,P020,110,240.54,2979.0,23480.4
OI0000464,O000237,P020,81,228.27,1340.98,17148.89
OI0000465,O000238,P020,29,229.01,427.75,6213.54
OI0000466,O000238,P021,63,240.38,299.2,14844.74
OI0000467,O000238,P021,107,234.08,2227.85,22818.71
OI0000468,O000239,P022,94,216.22,1295.43,19029.25
OI0000469,O000240,P019,80,140.13,241.37,10969.03
OI0000470,O000240,P021,73,222.52,120.03,16123.93
OI0000471,O000241,P027,114,88.89,1004.07,9129.39
OI0000472,O000241,P025,86,203.85,2010.08,15521.02
OI0000473,O000242,P025,47,195.4,796.72,8387.08
OI0000474,O000243,P028,90,120.35,951.5,9880.0
OI0000475,O000243,P030,116,162.64,1919.46,16946.78
OI0000476,O000244,P025,64,215.08,315.77,13449.35
OI0000477,O000244,P025,5,213.04,81.13,984.07
OI0000478,O000245,P005,25,988.35,557.01,24151.74
OI0000479,O000246,P003,92,904.66,2983.42,80245.3
OI0000480,O000247,P003,105,838.45,8323.95,79713.3
OI0000481,O000248,P004,31,1503.0,4580.25,42012.75
OI0000482,O000248,P001,83,1504.46,6630.1,118240.08
OI0000483,O000249,P001,119,1555.63,16829.93,168290.04
OI0000484,O000249,P002,23,1802.69,1132.01,40329.86
OI0000485,O000250,P008,34,1540.35,3026.14,49345.76
