touchpoint_id,customer_id,campaign_id,touchpoint_time,touchpoint_type,sales_rep_id,cost_amount
T000080,C0026,CAMP003,2024-02-29,CONFERENCE,SR006,2435.22
T000081,C0014,CAMP007,2024-02-21,HOSPITAL_VISIT,SR002,2639.1
T000082,C0014,CAMP013,2024-02-17,ONLINE,SR002,928.97
T000083,C0026,CAMP010,2024-02-19,ONLINE,SR005,1700.58
T000084,C0009,CAMP010,2024-02-15,CONFERENCE,SR004,1032.9
T000085,C0009,CAMP012,2024-03-09,ONLINE,SR004,1517.55
T000086,C0052,CAMP014,2024-03-09,HOSPITAL_VISIT,SR011,2581.73
T000087,C0052,CAMP015,2024-02-11,EMAIL,SR011,1187.43
T000088,C0048,CAMP003,2024-02-17,HOSPITAL_VISIT,SR011,2035.57
T000089,C0052,CAMP009,2024-02-06,EMAIL,SR009,564.62
T000090,C0054,CAMP007,2024-02-09,HOSPITAL_VISIT,SR012,863.39
T000091,C0040,CAMP006,2024-03-15,CONFERENCE,SR009,354.91
T000092,C0059,CAMP002,2024-02-15,ONLINE,SR012,498.1
T000093,C0059,CAMP014,2024-02-09,CONFERENCE,SR012,1407.79
T000094,C0053,CAMP004,2024-02-26,HOSPITAL_VISIT,SR007,329.14
T000095,C0032,CAMP006,2024-02-10,CONFERENCE,SR011,1228.99
T000096,C0032,CAMP010,2024-03-19,HOSPITAL_VISIT,SR010,1049.91
T000097,C0031,CAMP001,2024-02-22,CONFERENCE,SR011,1162.14
T000098,C0031,CAMP003,2024-02-01,HOSPITAL_VISIT,SR011,1386.06
T000099,C0039,CAMP003,2024-02-08,EMAIL,SR011,1235.25
T000100,C0039,CAMP007,2024-02-08,CONFERENCE,SR011,1111.18
T000101,C0081,CAMP012,2024-03-06,EMAIL,SR015,439.89
T000102,C0081,CAMP009,2024-03-17,CONFERENCE,SR013,2187.62
T000103,C0070,CAMP012,2024-02-16,HOSPITAL_VISIT,SR015,2590.65
T000104,C0081,CAMP013,2024-01-31,HOSPITAL_VISIT,SR014,1767.17
T000105,C0076,CAMP009,2024-02-29,HOSPITAL_VISIT,SR013,1541.47
T000106,C0076,CAMP003,2024-02-23,HOSPITAL_VISIT,SR017,1370.86
T000107,C0087,CAMP001,2024-01-24,CONFERENCE,SR017,2203.94
T000108,C0072,CAMP014,2024-02-18,ONLINE,SR014,2716.13
T000109,C0072,CAMP013,2024-02-22,EMAIL,SR014,2160.58
T000110,C0080,CAMP012,2024-02-07,ONLINE,SR015,1292.71
T000111,C0080,CAMP002,2024-02-04,HOSPITAL_VISIT,SR015,1582.85
T000112,C0084,CAMP009,2024-02-13,EMAIL,SR016,2078.77
T000113,C0069,CAMP008,2024-02-24,HOSPITAL_VISIT,SR013,351.87
T000114,C0094,CAMP005,2024-03-06,EMAIL,SR019,987.73
T000115,C0094,CAMP002,2024-03-10,HOSPITAL_VISIT,SR019,1541.67
T000116,C0097,CAMP015,2024-02-08,ONLINE,SR020,573.74
T000117,C0110,CAMP012,2024-02-09,ONLINE,SR019,1910.38
T000118,C0097,CAMP015,2024-03-15,EMAIL,SR019,2143.92
T000119,C0097,CAMP002,2024-03-03,ONLINE,SR019,1536.77
T000120,C0115,CAMP002,2024-02-19,ONLINE,SR020,2164.51
T000121,C0028,CAMP007,2024-03-29,EMAIL,SR002,1608.93
T000122,C0027,CAMP005,2024-04-08,HOSPITAL_VISIT,SR001,957.22
T000123,C0027,CAMP007,2024-03-18,CONFERENCE,SR001,514.16
T000124,C0020,CAMP010,2024-03-27,CONFERENCE,SR006,1728.63
T000125,C0019,CAMP014,2024-03-29,ONLINE,SR005,868.53
T000126,C0028,CAMP009,2024-03-01,HOSPITAL_VISIT,SR004,268.04
T000127,C0028,CAMP007,2024-03-20,ONLINE,SR004,1481.04
T000128,C0002,CAMP014,2024-03-25,ONLINE,SR005,2298.32
T000129,C0002,CAMP006,2024-03-12,EMAIL,SR005,2735.96
T000130,C0011,CAMP010,2024-03-24,HOSPITAL_VISIT,SR006,1220.47
T000131,C0011,CAMP003,2024-03-14,EMAIL,SR002,2468.05
T000132,C0028,CAMP002,2024-03-22,CONFERENCE,SR003,2599.22
T000133,C0028,CAMP007,2024-04-12,CONFERENCE,SR003,1549.53
T000134,C0014,CAMP008,2024-02-23,CONFERENCE,SR004,1116.85
T000135,C0011,CAMP006,2024-03-20,EMAIL,SR002,1641.15
T000136,C0011,CAMP009,2024-03-16,CONFERENCE,SR002,460.12
T000137,C0026,CAMP013,2024-03-24,EMAIL,SR003,1603.78
T000138,C0026,CAMP013,2024-03-23,HOSPITAL_VISIT,SR003,292.4
T000139,C0028,CAMP003,2024-03-17,CONFERENCE,SR004,514.37
T000140,C0009,CAMP005,2024-03-29,HOSPITAL_VISIT,SR004,450.6
T000141,C0026,CAMP008,2024-03-16,ONLINE,SR006,2041.42
T000142,C0026,CAMP008,2024-04-10,HOSPITAL_VISIT,SR006,2094.96
T000143,C0003,CAMP008,2024-03-06,HOSPITAL_VISIT,SR006,2656.19
T000144,C0057,CAMP001,2024-04-02,EMAIL,SR012,2018.03
T000145,C0056,CAMP001,2024-03-13,HOSPITAL_VISIT,SR007,2965.52
T000146,C0056,CAMP013,2024-03-16,ONLINE,SR007,586.5
T000147,C0043,CAMP013,2024-03-24,ONLINE,SR009,2869.23
T000148,C0043,CAMP013,2024-04-20,EMAIL,SR009,224.34
T000149,C0043,CAMP014,2024-03-20,CONFERENCE,SR011,576.81
T000150,C0044,CAMP011,2024-03-01,CONFERENCE,SR012,1077.56
T000151,C0047,CAMP012,2024-04-11,HOSPITAL_VISIT,SR012,2681.78
T000152,C0047,CAMP004,2024-04-02,HOSPITAL_VISIT,SR012,2558.38
T000153,C0046,CAMP004,2024-03-15,EMAIL,SR008,2785.25
T000154,C0059,CAMP006,2024-03-19,CONFERENCE,SR007,1625.97
T000155,C0038,CAMP006,2024-04-22,ONLINE,SR012,1495.49
T000156,C0031,CAMP006,2024-03-17,HOSPITAL_VISIT,SR010,1732.65
T000157,C0087,CAMP011,2024-04-13,EMAIL,SR013,238.29
T000158,C0087,CAMP003,2024-03-22,EMAIL,SR013,1871.43
T000159,C0078,CAMP002,2024-03-28,EMAIL,SR016,2249.88
T000160,C0078,CAMP004,2024-04-21,CONFERENCE,SR016,2777.29
T000161,C0081,CAMP011,2024-03-14,CONFERENCE,SR018,2950.21
T000162,C0070,CAMP002,2024-03-24,HOSPITAL_VISIT,SR018,2002.52
T000163,C0090,CAMP003,2024-03-11,EMAIL,SR018,2560.5
T000164,C0090,CAMP004,2024-03-26,CONFERENCE,SR018,591.93
T000165,C0062,CAMP001,2024-03-18,EMAIL,SR014,1086.27
T000166,C0062,CAMP005,2024-03-28,EMAIL,SR014,1536.42
T000167,C0084,CAMP003,2024-04-02,EMAIL,SR014,1629.48
T000168,C0077,CAMP014,2024-03-25,ONLINE,SR017,1711.42
T000169,C0077,CAMP003,2024-04-05,ONLINE,SR013,2476.49
T000170,C0083,CAMP014,2024-03-25,HOSPITAL_VISIT,SR016,1714.54
T000171,C0076,CAMP012,2024-03-21,EMAIL,SR015,2904.44
T000172,C0076,CAMP008,2024-04-07,CONFERENCE,SR015,2711.75
T000173,C0073,CAMP006,2024-03-17,EMAIL,SR014,2169.5
T000174,C0073,CAMP002,2024-03-17,CONFERENCE,SR014,2716.93
T000175,C0075,CAMP003,2024-02-23,ONLINE,SR017,940.17
T000176,C0110,CAMP005,2024-03-15,CONFERENCE,SR020,2434.46
T000177,C0091,CAMP012,2024-03-19,EMAIL,SR022,1895.96
T000178,C0107,CAMP011,2024-02-29,ONLINE,SR024,2999.2
T000179,C0119,CAMP008,2024-04-07,HOSPITAL_VISIT,SR021,1348.56
T000180,C0119,CAMP009,2024-03-08,EMAIL,SR021,2007.23
T000181,C0020,CAMP009,2024-04-12,HOSPITAL_VISIT,SR003,1133.48
T000182,C0020,CAMP007,2024-05-10,ONLINE,SR003,459.48
T000183,C0009,CAMP015,2024-04-11,EMAIL,SR005,1837.03
T000184,C0026,CAMP003,2024-04-29,ONLINE,SR002,2605.88
T000185,C0002,CAMP009,2024-04-05,ONLINE,SR005,614.24
T000186,C0002,CAMP003,2024-04-23,ONLINE,SR005,457.06
T000187,C0018,CAMP013,2024-03-28,CONFERENCE,SR003,2773.37
T000188,C0018,CAMP008,2024-04-21,ONLINE,SR003,703.59
T000189,C0007,CAMP005,2024-05-17,HOSPITAL_VISIT,SR002,2464.9
T000190,C0011,CAMP012,2024-04-24,ONLINE,SR005,607.48
T000191,C0011,CAMP009,2024-04-01,CONFERENCE,SR005,1210.84
T000192,C0016,CAMP015,2024-04-29,ONLINE,SR006,300.57
T000193,C0013,CAMP009,2024-05-15,CONFERENCE,SR004,2320.93
T000194,C0013,CAMP001,2024-05-01,HOSPITAL_VISIT,SR004,2829.66
T000195,C0011,CAMP007,2024-04-05,CONFERENCE,SR005,2809.21
T000196,C0027,CAMP001,2024-05-05,HOSPITAL_VISIT,SR006,1099.6
T000197,C0027,CAMP014,2024-05-06,ONLINE,SR006,1101.26
T000198,C0028,CAMP015,2024-05-17,HOSPITAL_VISIT,SR001,2141.01
T000199,C0013,CAMP015,2024-04-28,ONLINE,SR005,1519.5
T000200,C0028,CAMP007,2024-05-05,EMAIL,SR004,1963.37
T000201,C0019,CAMP002,2024-04-18,HOSPITAL_VISIT,SR001,2406.68
T000202,C0025,CAMP004,2024-04-28,EMAIL,SR003,2500.53
T000203,C0025,CAMP002,2024-04-29,EMAIL,SR003,977.18
T000204,C0041,CAMP003,2024-04-12,HOSPITAL_VISIT,SR009,2143.7
T000205,C0041,CAMP007,2024-04-18,HOSPITAL_VISIT,SR009,812.23
T000206,C0041,CAMP008,2024-05-17,HOSPITAL_VISIT,SR007,2098.02
T000207,C0041,CAMP013,2024-04-22,EMAIL,SR007,652.05
T000208,C0048,CAMP014,2024-04-14,CONFERENCE,SR009,486.34
T000209,C0037,CAMP007,2024-05-20,CONFERENCE,SR008,935.21
T000210,C0045,CAMP014,2024-04-28,EMAIL,SR009,1434.9
T000211,C0052,CAMP004,2024-05-12,CONFERENCE,SR012,1127.32
T000212,C0052,CAMP001,2024-05-05,HOSPITAL_VISIT,SR012,1713.25
T000213,C0052,CAMP005,2024-04-17,HOSPITAL_VISIT,SR007,584.37
T000214,C0052,CAMP015,2024-04-13,EMAIL,SR007,701.2
T000215,C0051,CAMP005,2024-04-15,ONLINE,SR007,599.73
T000216,C0051,CAMP014,2024-04-14,CONFERENCE,SR007,1203.62
T000217,C0047,CAMP006,2024-04-21,HOSPITAL_VISIT,SR009,2054.85
T000218,C0039,CAMP004,2024-03-28,CONFERENCE,SR011,1230.32
T000219,C0059,CAMP010,2024-04-30,EMAIL,SR010,775.09
T000220,C0078,CAMP003,2024-04-22,CONFERENCE,SR013,1723.2
T000221,C0078,CAMP001,2024-04-28,ONLINE,SR013,1601.76
T000222,C0078,CAMP001,2024-05-09,HOSPITAL_VISIT,SR017,1129.02
T000223,C0086,CAMP005,2024-04-09,HOSPITAL_VISIT,SR018,2151.42
T000224,C0081,CAMP008,2024-03-30,CONFERENCE,SR016,2406.44
T000225,C0081,CAMP008,2024-04-18,ONLINE,SR016,2696.28
T000226,C0061,CAMP004,2024-04-06,HOSPITAL_VISIT,SR015,870.29
T000227,C0061,CAMP008,2024-04-19,ONLINE,SR015,878.49
T000228,C0084,CAMP015,2024-05-08,HOSPITAL_VISIT,SR016,1919.49
T000229,C0073,CAMP009,2024-04-25,EMAIL,SR014,532.76
T000230,C0083,CAMP014,2024-04-15,ONLINE,SR014,2199.19
T000231,C0072,CAMP001,2024-04-08,CONFERENCE,SR014,496.14
T000232,C0073,CAMP007,2024-04-19,EMAIL,SR014,1164.27
T000233,C0072,CAMP006,2024-04-07,CONFERENCE,SR013,1756.33
T000234,C0072,CAMP015,2024-04-15,ONLINE,SR013,1563.29
T000235,C0099,CAMP007,2024-04-03,EMAIL,SR020,2439.22
T000236,C0102,CAMP001,2024-05-22,ONLINE,SR019,205.44
T000237,C0102,CAMP002,2024-05-05,ONLINE,SR019,1183.02
T000238,C0093,CAMP008,2024-04-26,CONFERENCE,SR021,2359.22
T000239,C0115,CAMP015,2024-04-29,ONLINE,SR020,2357.4
T000240,C0115,CAMP001,2024-04-19,EMAIL,SR020,1676.56
T000241,C0021,CAMP011,2024-05-06,EMAIL,SR006,1476.34
T000242,C0008,CAMP002,2024-05-16,CONFERENCE,SR006,2958.02
T000243,C0008,CAMP013,2024-05-02,EMAIL,SR006,528.67
T000244,C0020,CAMP003,2024-05-10,HOSPITAL_VISIT,SR006,1248.26
T000245,C0023,CAMP006,2024-05-23,EMAIL,SR002,1495.01
T000246,C0023,CAMP012,2024-05-27,CONFERENCE,SR002,2317.18
T000247,C0026,CAMP012,2024-05-13,ONLINE,SR002,942.32
T000248,C0026,CAMP013,2024-06-02,EMAIL,SR002,2092.14
T000249,C0026,CAMP007,2024-05-17,CONFERENCE,SR005,2178.92
T000250,C0009,CAMP009,2024-05-14,CONFERENCE,SR001,2053.93
T000251,C0009,CAMP002,2024-06-06,CONFERENCE,SR001,1120.68
T000252,C0024,CAMP004,2024-05-09,CONFERENCE,SR001,1057.67
T000253,C0024,CAMP007,2024-06-13,ONLINE,SR001,2700.38
T000254,C0007,CAMP002,2024-05-23,HOSPITAL_VISIT,SR001,2034.39
T000255,C0017,CAMP001,2024-05-19,CONFERENCE,SR006,1733.66
T000256,C0028,CAMP003,2024-06-02,CONFERENCE,SR001,1109.15
T000257,C0028,CAMP015,2024-05-25,CONFERENCE,SR001,676.18
T000258,C0026,CAMP013,2024-06-01,CONFERENCE,SR002,410.42
T000259,C0026,CAMP013,2024-06-04,ONLINE,SR002,1133.05
T000260,C0020,CAMP006,2024-05-08,CONFERENCE,SR004,726.64
T000261,C0020,CAMP004,2024-05-29,HOSPITAL_VISIT,SR004,1915.99
T000262,C0015,CAMP013,2024-06-23,CONFERENCE,SR006,1703.79
T000263,C0015,CAMP004,2024-05-31,EMAIL,SR006,1895.75
T000264,C0001,CAMP004,2024-06-06,ONLINE,SR002,1774.03
T000265,C0001,CAMP002,2024-05-21,EMAIL,SR002,2861.19
T000266,C0001,CAMP015,2024-05-14,CONFERENCE,SR002,998.94
T000267,C0052,CAMP010,2024-05-23,EMAIL,SR008,2370.22
T000268,C0052,CAMP012,2024-05-23,EMAIL,SR008,1859.43
T000269,C0039,CAMP005,2024-06-08,ONLINE,SR009,1315.07
T000270,C0039,CAMP006,2024-06-18,HOSPITAL_VISIT,SR009,2972.84
T000271,C0052,CAMP014,2024-05-20,EMAIL,SR008,2975.2
T000272,C0052,CAMP004,2024-05-08,HOSPITAL_VISIT,SR008,985.85
T000273,C0052,CAMP002,2024-06-05,EMAIL,SR007,853.77
T000274,C0052,CAMP009,2024-05-17,CONFERENCE,SR007,2377.1
T000275,C0035,CAMP003,2024-05-31,HOSPITAL_VISIT,SR007,699.9
T000276,C0049,CAMP012,2024-05-27,CONFERENCE,SR011,968.37
T000277,C0049,CAMP001,2024-05-12,CONFERENCE,SR011,2065.14
T000278,C0032,CAMP004,2024-05-28,ONLINE,SR012,2853.87
T000279,C0044,CAMP009,2024-05-19,CONFERENCE,SR011,2830.56
T000280,C0038,CAMP001,2024-06-10,ONLINE,SR010,876.71
T000281,C0038,CAMP007,2024-05-31,ONLINE,SR010,1140.47
T000282,C0053,CAMP011,2024-05-26,HOSPITAL_VISIT,SR012,2767.81
T000283,C0053,CAMP006,2024-05-17,EMAIL,SR012,1284.25
T000284,C0047,CAMP006,2024-06-09,EMAIL,SR012,1944.63
T000285,C0047,CAMP004,2024-05-18,CONFERENCE,SR012,1397.79
T000286,C0059,CAMP012,2024-06-09,EMAIL,SR008,1877.86
T000287,C0059,CAMP011,2024-05-21,EMAIL,SR008,1964.37
T000288,C0080,CAMP014,2024-04-27,ONLINE,SR013,2096.19
T000289,C0080,CAMP002,2024-05-20,EMAIL,SR013,2733.78
T000290,C0070,CAMP011,2024-05-14,ONLINE,SR016,2514.92
T000291,C0070,CAMP012,2024-05-12,ONLINE,SR016,694.91
T000292,C0070,CAMP009,2024-05-23,CONFERENCE,SR018,2390.66
T000293,C0070,CAMP010,2024-05-26,HOSPITAL_VISIT,SR018,1019.6
T000294,C0079,CAMP008,2024-05-15,HOSPITAL_VISIT,SR015,262.39
T000295,C0079,CAMP015,2024-05-07,EMAIL,SR015,2229.99
T000296,C0086,CAMP003,2024-05-26,HOSPITAL_VISIT,SR015,1471.29
T000297,C0086,CAMP012,2024-05-23,EMAIL,SR015,2695.82
T000298,C0084,CAMP001,2024-05-22,HOSPITAL_VISIT,SR013,597.82
T000299,C0067,CAMP001,2024-05-12,ONLINE,SR016,758.8
T000300,C0067,CAMP015,2024-05-15,HOSPITAL_VISIT,SR016,1799.3
T000301,C0083,CAMP002,2024-05-20,ONLINE,SR015,2253.46
T000302,C0083,CAMP004,2024-06-21,CONFERENCE,SR015,1372.31
T000303,C0067,CAMP002,2024-06-03,EMAIL,SR014,358.34
T000304,C0109,CAMP005,2024-05-30,ONLINE,SR022,2402.81
T000305,C0116,CAMP008,2024-06-04,HOSPITAL_VISIT,SR021,2480.7
T000306,C0116,CAMP003,2024-06-16,HOSPITAL_VISIT,SR021,1832.18
T000307,C0117,CAMP003,2024-05-23,HOSPITAL_VISIT,SR023,404.49
T000308,C0117,CAMP009,2024-05-29,CONFERENCE,SR023,887.49
T000309,C0003,CAMP013,2024-06-23,EMAIL,SR003,800.18
T000310,C0003,CAMP005,2024-06-18,EMAIL,SR003,572.05
T000311,C0020,CAMP004,2024-06-22,EMAIL,SR001,1753.73
T000312,C0020,CAMP011,2024-07-05,HOSPITAL_VISIT,SR001,2979.96
T000313,C0002,CAMP014,2024-06-09,ONLINE,SR001,2436.89
T000314,C0007,CAMP009,2024-06-18,HOSPITAL_VISIT,SR003,2270.67
T000315,C0027,CAMP004,2024-06-25,EMAIL,SR004,1100.26
T000316,C0028,CAMP015,2024-06-16,ONLINE,SR003,2164.46
T000317,C0021,CAMP004,2024-06-29,CONFERENCE,SR006,554.74
T000318,C0021,CAMP006,2024-07-02,HOSPITAL_VISIT,SR006,1010.78
T000319,C0013,CAMP014,2024-06-13,ONLINE,SR006,2055.39
T000320,C0013,CAMP014,2024-07-14,CONFERENCE,SR005,2338.17
T000321,C0020,CAMP013,2024-07-01,EMAIL,SR006,2811.32
T000322,C0021,CAMP014,2024-06-11,EMAIL,SR004,314.62
T000323,C0021,CAMP001,2024-07-10,CONFERENCE,SR004,2170.03
T000324,C0001,CAMP011,2024-06-26,HOSPITAL_VISIT,SR005,605.0
T000325,C0001,CAMP011,2024-07-12,ONLINE,SR005,2752.93
T000326,C0037,CAMP006,2024-07-21,HOSPITAL_VISIT,SR008,2518.71
T000327,C0051,CAMP007,2024-06-17,EMAIL,SR008,2801.62
T000328,C0047,CAMP003,2024-06-01,EMAIL,SR009,1265.14
T000329,C0044,CAMP002,2024-06-16,HOSPITAL_VISIT,SR008,1214.1
T000330,C0044,CAMP008,2024-06-28,EMAIL,SR008,1357.61
T000331,C0043,CAMP007,2024-07-14,HOSPITAL_VISIT,SR007,2440.35
T000332,C0043,CAMP013,2024-07-08,CONFERENCE,SR007,1503.45
T000333,C0044,CAMP007,2024-06-25,CONFERENCE,SR011,2363.37
T000334,C0044,CAMP012,2024-06-21,HOSPITAL_VISIT,SR011,1177.72
T000335,C0041,CAMP012,2024-06-14,HOSPITAL_VISIT,SR011,2551.09
T000336,C0041,CAMP006,2024-06-30,EMAIL,SR011,442.42
T000337,C0043,CAMP014,2024-05-28,HOSPITAL_VISIT,SR010,2891.15
T000338,C0080,CAMP004,2024-06-24,EMAIL,SR017,1356.2
T000339,C0080,CAMP002,2024-06-27,EMAIL,SR017,927.17
T000340,C0078,CAMP011,2024-07-09,HOSPITAL_VISIT,SR017,2291.59
T000341,C0076,CAMP011,2024-06-21,EMAIL,SR013,2478.28
T000342,C0075,CAMP009,2024-07-07,EMAIL,SR015,788.19
T000343,C0075,CAMP015,2024-07-08,HOSPITAL_VISIT,SR015,1671.15
T000344,C0090,CAMP001,2024-06-12,HOSPITAL_VISIT,SR017,2596.24
T000345,C0090,CAMP012,2024-07-04,HOSPITAL_VISIT,SR017,884.71
T000346,C0072,CAMP013,2024-07-01,HOSPITAL_VISIT,SR015,2481.14
T000347,C0069,CAMP004,2024-07-12,HOSPITAL_VISIT,SR014,1272.71
T000348,C0084,CAMP005,2024-07-15,ONLINE,SR017,2209.02
T000349,C0068,CAMP004,2024-07-02,CONFERENCE,SR017,940.46
T000350,C0068,CAMP011,2024-06-24,EMAIL,SR017,2798.88
T000351,C0070,CAMP013,2024-06-27,EMAIL,SR014,1250.17
T000352,C0070,CAMP001,2024-06-23,ONLINE,SR014,971.4
T000353,C0099,CAMP006,2024-07-04,EMAIL,SR023,2949.09
T000354,C0099,CAMP005,2024-06-09,ONLINE,SR023,2049.94
T000355,C0112,CAMP009,2024-06-08,EMAIL,SR021,2642.27
T000356,C0115,CAMP007,2024-06-04,EMAIL,SR023,2789.29
T000357,C0115,CAMP013,2024-05-28,HOSPITAL_VISIT,SR023,2156.89
T000358,C0023,CAMP004,2024-07-26,CONFERENCE,SR003,2859.19
T000359,C0023,CAMP009,2024-08-09,EMAIL,SR003,1758.68
T000360,C0007,CAMP014,2024-07-16,HOSPITAL_VISIT,SR005,966.72
T000361,C0007,CAMP004,2024-06-22,EMAIL,SR005,268.52
T000362,C0027,CAMP013,2024-08-11,EMAIL,SR006,411.12
T000363,C0027,CAMP005,2024-07-26,EMAIL,SR006,1590.65
T000364,C0003,CAMP006,2024-07-09,CONFERENCE,SR002,2002.22
