prescription_event_id,customer_id,product_id,event_date,prescription_count,patient_count
RX000057,C0090,P013,2024-02-14,117,92
RX000058,C0077,P015,2024-02-13,32,24
RX000059,C0075,P014,2024-02-23,116,91
RX000060,C0068,P023,2024-02-16,101,67
RX000061,C0076,P024,2024-02-04,60,39
RX000062,C0076,P024,2024-02-27,87,74
RX000063,C0073,P030,2024-02-27,97,75
RX000064,C0089,P025,2024-02-11,23,17
RX000065,C0110,P014,2024-02-22,116,106
RX000066,C0028,P002,2024-03-24,80,53
RX000067,C0021,P005,2024-03-12,106,79
RX000068,C0007,P001,2024-03-07,108,93
RX000069,C0003,P004,2024-03-07,96,90
RX000070,C0026,P011,2024-03-04,39,23
RX000071,C0025,P018,2024-03-10,15,10
RX000072,C0027,P015,2024-03-10,67,58
RX000073,C0011,P018,2024-03-16,112,88
RX000074,C0027,P018,2024-03-27,9,6
RX000075,C0028,P015,2024-03-06,57,50
RX000076,C0005,P019,2024-03-14,56,48
RX000077,C0021,P023,2024-03-23,111,94
RX000078,C0014,P021,2024-03-21,46,42
RX000079,C0013,P020,2024-03-04,102,79
RX000080,C0026,P030,2024-03-07,91,84
RX000081,C0009,P028,2024-03-20,120,103
RX000082,C0026,P030,2024-03-13,110,102
RX000083,C0056,P001,2024-03-28,56,47
RX000084,C0052,P001,2024-03-20,100,72
RX000085,C0056,P001,2024-03-01,118,108
RX000086,C0052,P009,2024-03-10,113,106
RX000087,C0054,P008,2024-03-19,97,79
RX000088,C0040,P013,2024-03-19,9,8
RX000089,C0053,P016,2024-03-27,91,83
RX000090,C0032,P019,2024-03-24,17,11
RX000091,C0051,P023,2024-03-17,37,34
RX000092,C0044,P021,2024-03-27,22,14
RX000093,C0031,P025,2024-03-01,86,71
RX000094,C0039,P026,2024-03-14,42,30
RX000095,C0081,P006,2024-03-23,22,13
RX000096,C0081,P004,2024-03-23,57,41
RX000097,C0070,P002,2024-03-06,92,79
RX000098,C0081,P011,2024-03-02,52,33
RX000099,C0076,P013,2024-03-10,83,63
RX000100,C0085,P013,2024-03-20,33,21
RX000101,C0087,P015,2024-03-04,31,21
RX000102,C0080,P023,2024-03-15,110,95
RX000103,C0084,P019,2024-03-23,91,80
RX000104,C0077,P026,2024-03-20,93,59
RX000105,C0099,P001,2024-03-10,103,81
RX000106,C0097,P022,2024-03-27,18,15
RX000107,C0092,P019,2024-03-12,88,81
RX000108,C0028,P003,2024-04-09,17,13
RX000109,C0023,P002,2024-04-04,103,86
RX000110,C0027,P001,2024-04-22,102,83
RX000111,C0028,P010,2024-04-02,119,87
RX000112,C0002,P008,2024-04-20,103,83
RX000113,C0011,P017,2024-04-24,101,91
RX000114,C0021,P013,2024-04-27,10,8
RX000115,C0011,P015,2024-04-16,9,6
RX000116,C0007,P017,2024-04-10,52,31
RX000117,C0028,P016,2024-04-23,11,6
RX000118,C0018,P015,2024-04-22,104,83
RX000119,C0014,P022,2024-04-01,61,46
RX000120,C0017,P019,2024-04-26,80,48
RX000121,C0028,P019,2024-04-23,15,10
RX000122,C0009,P020,2024-04-16,79,70
RX000123,C0026,P027,2024-04-16,70,53
RX000124,C0003,P030,2024-04-05,79,60
RX000125,C0057,P002,2024-04-07,31,22
RX000126,C0056,P005,2024-04-08,7,5
RX000127,C0052,P001,2024-04-09,102,86
RX000128,C0043,P007,2024-04-26,8,5
RX000129,C0044,P015,2024-04-02,63,38
RX000130,C0047,P016,2024-04-24,101,69
RX000131,C0043,P022,2024-04-08,21,19
RX000132,C0038,P020,2024-04-27,6,4
RX000133,C0031,P027,2024-04-06,112,70
RX000134,C0087,P001,2024-04-18,5,3
RX000135,C0081,P005,2024-04-02,67,57
RX000136,C0081,P012,2024-04-18,64,45
RX000137,C0090,P018,2024-04-06,111,75
RX000138,C0062,P015,2024-04-15,100,62
RX000139,C0077,P013,2024-04-20,89,60
RX000140,C0077,P013,2024-04-19,114,87
RX000141,C0074,P021,2024-04-27,96,60
RX000142,C0075,P026,2024-04-01,17,12
RX000143,C0116,P003,2024-04-06,25,19
RX000144,C0091,P013,2024-04-25,110,78
RX000145,C0094,P020,2024-04-16,29,17
RX000146,C0119,P030,2024-04-14,40,35
RX000147,C0028,P003,2024-05-15,41,35
RX000148,C0020,P006,2024-05-19,106,68
RX000149,C0008,P004,2024-05-27,110,74
RX000150,C0009,P003,2024-05-18,52,47
RX000151,C0002,P008,2024-05-04,74,52
RX000152,C0016,P016,2024-05-14,99,63
RX000153,C0011,P016,2024-05-02,80,54
RX000154,C0016,P015,2024-05-15,21,13
RX000155,C0020,P022,2024-05-18,99,87
RX000156,C0011,P024,2024-05-11,108,95
RX000157,C0026,P024,2024-05-16,70,55
RX000158,C0027,P023,2024-05-10,57,46
RX000159,C0028,P019,2024-05-23,86,64
RX000160,C0019,P026,2024-05-07,32,30
RX000161,C0025,P025,2024-05-14,108,66
RX000162,C0041,P005,2024-05-17,11,8
RX000163,C0048,P003,2024-05-05,54,33
RX000164,C0031,P010,2024-05-16,86,69
RX000165,C0045,P018,2024-05-07,5,4
RX000166,C0052,P018,2024-05-17,43,35
RX000167,C0047,P019,2024-05-26,9,6
RX000168,C0044,P020,2024-05-07,20,16
RX000169,C0039,P030,2024-05-07,63,45
RX000170,C0059,P029,2024-05-08,109,98
RX000171,C0078,P002,2024-05-06,9,7
RX000172,C0078,P001,2024-05-20,67,63
RX000173,C0080,P006,2024-05-02,51,37
RX000174,C0086,P012,2024-05-02,35,21
RX000175,C0089,P016,2024-05-06,24,16
RX000176,C0084,P016,2024-05-24,32,25
RX000177,C0073,P018,2024-05-18,69,54
RX000178,C0066,P022,2024-05-25,6,4
RX000179,C0072,P021,2024-05-14,29,27
RX000180,C0073,P025,2024-05-14,36,31
RX000181,C0072,P026,2024-05-04,100,88
RX000182,C0114,P003,2024-05-04,85,51
RX000183,C0099,P010,2024-05-13,97,79
RX000184,C0102,P013,2024-05-26,85,66
RX000185,C0115,P020,2024-05-24,74,58
RX000186,C0115,P028,2024-05-20,79,62
RX000187,C0007,P006,2024-06-02,86,69
RX000188,C0020,P005,2024-06-18,79,73
RX000189,C0023,P004,2024-06-05,48,40
RX000190,C0026,P010,2024-06-22,54,39
RX000191,C0023,P015,2024-06-27,49,33
RX000192,C0009,P014,2024-06-24,13,8
RX000193,C0024,P015,2024-06-18,88,79
RX000194,C0024,P016,2024-06-24,109,83
RX000195,C0009,P015,2024-06-21,52,36
RX000196,C0007,P018,2024-06-20,12,7
RX000197,C0017,P020,2024-06-13,114,83
RX000198,C0028,P022,2024-06-20,74,63
RX000199,C0015,P023,2024-06-28,49,37
RX000200,C0001,P026,2024-06-18,30,26
RX000201,C0001,P026,2024-06-01,9,6
RX000202,C0039,P002,2024-06-25,76,57
RX000203,C0047,P006,2024-06-11,22,14
RX000204,C0052,P007,2024-06-10,56,36
RX000205,C0035,P014,2024-06-10,104,62
RX000206,C0041,P018,2024-06-09,102,70
RX000207,C0049,P017,2024-06-15,93,78
RX000208,C0032,P014,2024-06-02,31,22
RX000209,C0053,P019,2024-06-23,28,24
RX000210,C0032,P023,2024-06-18,55,48
RX000211,C0047,P028,2024-06-18,56,48
RX000212,C0059,P028,2024-06-25,17,15
RX000213,C0080,P005,2024-06-06,44,35
RX000214,C0080,P004,2024-06-05,88,81
RX000215,C0070,P005,2024-06-23,48,40
RX000216,C0070,P012,2024-06-02,16,9
RX000217,C0087,P018,2024-06-09,84,71
RX000218,C0079,P015,2024-06-04,81,60
RX000219,C0061,P017,2024-06-21,114,89
RX000220,C0086,P017,2024-06-18,88,74
RX000221,C0084,P013,2024-06-08,103,72
RX000222,C0076,P023,2024-06-28,17,13
RX000223,C0067,P020,2024-06-07,117,72
RX000224,C0072,P022,2024-06-22,101,85
RX000225,C0072,P030,2024-06-23,52,48
RX000226,C0109,P005,2024-06-25,39,34
RX000227,C0095,P008,2024-06-21,73,65
RX000228,C0092,P021,2024-06-22,68,43
RX000229,C0003,P001,2024-07-21,7,6
RX000230,C0020,P005,2024-07-15,116,73
RX000231,C0007,P006,2024-07-22,68,63
RX000232,C0002,P012,2024-07-04,20,14
RX000233,C0009,P010,2024-07-11,14,9
RX000234,C0027,P016,2024-07-20,117,77
RX000235,C0014,P018,2024-07-08,78,50
RX000236,C0028,P013,2024-07-17,68,45
RX000237,C0021,P018,2024-07-15,100,71
RX000238,C0013,P013,2024-07-21,118,77
RX000239,C0013,P017,2024-07-17,45,33
RX000240,C0020,P021,2024-07-11,8,6
RX000241,C0014,P021,2024-07-17,20,15
RX000242,C0011,P019,2024-07-06,56,43
RX000243,C0009,P019,2024-07-16,64,53
RX000244,C0013,P019,2024-07-27,30,25
RX000245,C0001,P030,2024-07-17,46,35
RX000246,C0026,P029,2024-07-11,26,24
RX000247,C0024,P029,2024-07-24,100,77
RX000248,C0039,P006,2024-07-28,18,11
RX000249,C0048,P006,2024-07-09,115,85
RX000250,C0044,P017,2024-07-12,64,45
RX000251,C0043,P014,2024-07-20,34,32
RX000252,C0045,P016,2024-07-25,75,69
RX000253,C0041,P023,2024-07-21,35,31
RX000254,C0059,P020,2024-07-12,110,78
RX000255,C0047,P027,2024-07-04,8,5
RX000256,C0089,P008,2024-07-28,91,80
RX000257,C0076,P009,2024-07-06,69,57
RX000258,C0075,P017,2024-07-24,15,11
RX000259,C0086,P016,2024-07-05,109,90
RX000260,C0079,P013,2024-07-10,13,11
RX000261,C0072,P021,2024-07-06,118,90
RX000262,C0069,P022,2024-07-28,81,50
RX000263,C0084,P021,2024-07-22,29,25
RX000264,C0068,P019,2024-07-08,99,60
RX000265,C0077,P027,2024-07-16,74,56
RX000266,C0119,P016,2024-07-05,11,9
RX000267,C0097,P023,2024-07-13,29,19
RX000268,C0115,P027,2024-07-02,99,60
RX000269,C0023,P002,2024-08-12,90,66
RX000270,C0027,P001,2024-08-15,26,19
RX000271,C0003,P002,2024-08-09,75,51
RX000272,C0003,P004,2024-08-24,92,67
RX000273,C0028,P010,2024-08-08,24,18
RX000274,C0009,P011,2024-08-26,103,75
RX000275,C0011,P015,2024-08-01,72,67
RX000276,C0024,P016,2024-08-14,108,68
RX000277,C0025,P015,2024-08-05,51,41
RX000278,C0011,P017,2024-08-21,17,13
RX000279,C0015,P020,2024-08-13,67,48
RX000280,C0010,P023,2024-08-24,10,7
RX000281,C0010,P021,2024-08-03,23,20
RX000282,C0010,P025,2024-08-01,63,55
RX000283,C0001,P025,2024-08-10,32,29
RX000284,C0033,P002,2024-08-28,6,4
RX000285,C0041,P013,2024-08-10,52,40
RX000286,C0050,P018,2024-08-19,9,6
RX000287,C0044,P016,2024-08-08,18,14
RX000288,C0031,P023,2024-08-24,62,53
RX000289,C0041,P020,2024-08-28,117,88
RX000290,C0042,P019,2024-08-14,12,11
RX000291,C0033,P024,2024-08-05,21,17
RX000292,C0036,P027,2024-08-15,57,35
RX000293,C0031,P026,2024-08-22,45,28
RX000294,C0087,P005,2024-08-27,13,9
RX000295,C0074,P005,2024-08-27,57,46
RX000296,C0089,P011,2024-08-16,104,65
RX000297,C0075,P016,2024-08-16,105,66
RX000298,C0085,P016,2024-08-09,109,97
RX000299,C0067,P016,2024-08-01,42,28
RX000300,C0075,P018,2024-08-24,42,36
RX000301,C0062,P029,2024-08-20,41,29
RX000302,C0067,P030,2024-08-21,107,89
RX000303,C0100,P006,2024-08-08,90,73
RX000304,C0091,P022,2024-08-02,93,86
RX000305,C0117,P027,2024-08-01,50,40
RX000306,C0009,P005,2024-09-06,116,81
RX000307,C0021,P004,2024-09-14,50,40
RX000308,C0028,P005,2024-09-14,44,38
RX000309,C0021,P003,2024-09-20,54,50
RX000310,C0009,P009,2024-09-08,108,79
RX000311,C0019,P008,2024-09-16,22,18
RX000312,C0007,P018,2024-09-14,76,70
RX000313,C0009,P018,2024-09-06,39,25
RX000314,C0002,P017,2024-09-24,27,16
RX000315,C0005,P019,2024-09-22,55,35
RX000316,C0005,P024,2024-09-11,114,71
RX000317,C0009,P020,2024-09-26,100,61
RX000318,C0026,P023,2024-09-07,75,65
RX000319,C0010,P020,2024-09-20,100,82
RX000320,C0001,P030,2024-09-14,93,87
RX000321,C0001,P025,2024-09-22,7,5
RX000322,C0024,P025,2024-09-24,39,27
RX000323,C0039,P004,2024-09-14,78,48
RX000324,C0057,P004,2024-09-02,28,19
RX000325,C0043,P010,2024-09-11,5,3
RX000326,C0043,P008,2024-09-25,80,64
RX000327,C0032,P016,2024-09-25,59,44
RX000328,C0042,P018,2024-09-27,34,29
RX000329,C0053,P016,2024-09-14,105,87
RX000330,C0042,P016,2024-09-17,25,18
RX000331,C0049,P013,2024-09-26,53,41
RX000332,C0059,P016,2024-09-10,39,25
RX000333,C0041,P020,2024-09-07,7,6
RX000334,C0033,P024,2024-09-26,78,61
RX000335,C0068,P004,2024-09-06,7,4
RX000336,C0087,P002,2024-09-14,105,73
RX000337,C0075,P006,2024-09-07,74,51
RX000338,C0070,P011,2024-09-13,51,40
RX000339,C0075,P017,2024-09-26,90,67
RX000340,C0073,P017,2024-09-10,16,13
RX000341,C0062,P013,2024-09-14,42,27
RX000342,C0090,P017,2024-09-13,8,6
RX000343,C0072,P024,2024-09-01,16,15
RX000344,C0077,P022,2024-09-24,79,67
RX000345,C0084,P019,2024-09-21,92,69
RX000346,C0077,P027,2024-09-28,18,16
RX000347,C0094,P001,2024-09-10,23,17
RX000348,C0115,P002,2024-09-10,85,68
RX000349,C0107,P015,2024-09-18,35,22
RX000350,C0102,P020,2024-09-04,75,47
RX000351,C0109,P023,2024-09-20,5,3
RX000352,C0117,P028,2024-09-18,60,51
RX000353,C0003,P001,2024-10-16,46,32
RX000354,C0020,P003,2024-10-10,27,19
RX000355,C0003,P004,2024-10-01,65,54
RX000356,C0003,P004,2024-10-06,114,81
RX000357,C0028,P008,2024-10-09,46,40
RX000358,C0028,P011,2024-10-19,29,18
RX000359,C0002,P008,2024-10-12,42,28
RX000360,C0021,P015,2024-10-03,22,18
RX000361,C0013,P013,2024-10-07,69,42
RX000362,C0028,P019,2024-10-08,108,83
RX000363,C0027,P020,2024-10-15,53,48
RX000364,C0025,P026,2024-10-06,73,65
RX000365,C0001,P030,2024-10-12,26,16
RX000366,C0026,P028,2024-10-13,85,54
RX000367,C0037,P002,2024-10-10,18,12
RX000368,C0047,P005,2024-10-24,115,107
RX000369,C0051,P007,2024-10-07,69,65
RX000370,C0047,P018,2024-10-10,71,53
RX000371,C0052,P015,2024-10-12,98,69
RX000372,C0045,P016,2024-10-17,11,8
RX000373,C0059,P018,2024-10-04,83,74
RX000374,C0031,P022,2024-10-01,16,12
RX000375,C0031,P019,2024-10-12,79,51
RX000376,C0033,P022,2024-10-17,114,88
RX000377,C0036,P029,2024-10-20,48,40
RX000378,C0080,P002,2024-10-10,34,30
RX000379,C0081,P002,2024-10-02,85,68
RX000380,C0075,P001,2024-10-15,66,51
RX000381,C0087,P006,2024-10-05,95,86
RX000382,C0074,P004,2024-10-01,101,69
RX000383,C0079,P013,2024-10-10,73,52
RX000384,C0090,P015,2024-10-12,28,19
RX000385,C0068,P020,2024-10-15,40,28
RX000386,C0088,P021,2024-10-20,46,42
RX000387,C0065,P024,2024-10-17,51,47
RX000388,C0077,P019,2024-10-01,88,61
RX000389,C0073,P028,2024-10-01,55,43
RX000390,C0101,P001,2024-10-26,58,46
RX000391,C0096,P007,2024-10-17,45,28
RX000392,C0117,P022,2024-10-21,18,14
RX000393,C0003,P004,2024-11-20,68,54
RX000394,C0008,P003,2024-11-26,10,6
RX000395,C0008,P006,2024-11-26,11,10
RX000396,C0028,P001,2024-11-23,26,16
RX000397,C0007,P004,2024-11-17,44,34
RX000398,C0019,P007,2024-11-18,81,72
RX000399,C0028,P011,2024-11-16,39,27
RX000400,C0002,P015,2024-11-07,45,34
RX000401,C0022,P016,2024-11-20,41,37
RX000402,C0016,P017,2024-11-06,108,100
RX000403,C0016,P016,2024-11-01,80,66
RX000404,C0024,P015,2024-11-20,51,40
RX000405,C0005,P024,2024-11-14,95,65
RX000406,C0020,P021,2024-11-18,27,22
RX000407,C0026,P020,2024-11-02,98,78
RX000408,C0010,P030,2024-11-17,12,8
RX000409,C0047,P004,2024-11-28,100,66
RX000410,C0056,P005,2024-11-04,44,34
RX000411,C0051,P011,2024-11-21,47,41
RX000412,C0043,P009,2024-11-03,91,69
RX000413,C0033,P013,2024-11-05,72,66
RX000414,C0050,P016,2024-11-05,95,87
RX000415,C0033,P015,2024-11-27,107,99
RX000416,C0042,P018,2024-11-06,50,37
RX000417,C0059,P024,2024-11-04,21,13
RX000418,C0059,P021,2024-11-20,11,7
RX000419,C0041,P023,2024-11-19,48,29
RX000420,C0055,P026,2024-11-23,98,62
RX000421,C0038,P026,2024-11-12,56,39
RX000422,C0075,P005,2024-11-09,107,100
RX000423,C0082,P002,2024-11-24,47,42
RX000424,C0068,P006,2024-11-22,119,86
RX000425,C0078,P017,2024-11-09,30,26
RX000426,C0086,P017,2024-11-27,90,79
RX000427,C0074,P013,2024-11-16,71,63
RX000428,C0067,P013,2024-11-22,60,44
RX000429,C0085,P017,2024-11-17,12,7
RX000430,C0068,P020,2024-11-10,43,27
RX000431,C0068,P024,2024-11-05,48,34
RX000432,C0065,P024,2024-11-09,9,8
RX000433,C0063,P024,2024-11-08,29,24
RX000434,C0071,P025,2024-11-08,78,61
RX000435,C0067,P030,2024-11-20,94,69
RX000436,C0073,P028,2024-11-11,29,17
RX000437,C0113,P001,2024-11-05,54,40
RX000438,C0095,P012,2024-11-09,73,63
RX000439,C0097,P016,2024-11-20,46,37
RX000440,C0110,P013,2024-11-06,50,32
RX000441,C0109,P020,2024-11-04,36,22
RX000442,C0096,P030,2024-11-19,51,42
RX000443,C0008,P001,2024-12-15,115,88
RX000444,C0008,P006,2024-12-14,16,14
RX000445,C0027,P002,2024-12-16,11,9
RX000446,C0009,P009,2024-12-08,37,32
RX000447,C0002,P010,2024-12-06,77,70
RX000448,C0028,P008,2024-12-16,84,52
RX000449,C0023,P013,2024-12-23,112,105
RX000450,C0002,P013,2024-12-15,11,8
RX000451,C0028,P018,2024-12-06,118,77
RX000452,C0024,P015,2024-12-21,17,12
RX000453,C0009,P016,2024-12-10,33,29
RX000454,C0021,P014,2024-12-09,102,74
RX000455,C0021,P018,2024-12-24,115,96
RX000456,C0026,P019,2024-12-04,69,60
RX000457,C0003,P022,2024-12-11,85,73
RX000458,C0001,P026,2024-12-06,89,62
RX000459,C0001,P030,2024-12-14,54,42
RX000460,C0003,P025,2024-12-26,75,53
RX000461,C0052,P003,2024-12-13,5,3
RX000462,C0039,P005,2024-12-06,95,89
RX000463,C0057,P003,2024-12-02,67,52
RX000464,C0043,P007,2024-12-25,82,70
RX000465,C0052,P007,2024-12-27,16,12
RX000466,C0045,P014,2024-12-20,28,24
RX000467,C0052,P015,2024-12-17,105,85
RX000468,C0047,P016,2024-12-07,116,94
RX000469,C0045,P013,2024-12-27,36,31
RX000470,C0049,P018,2024-12-13,9,7
RX000471,C0042,P024,2024-12-26,58,42
RX000472,C0042,P022,2024-12-12,85,73
RX000473,C0038,P027,2024-12-25,98,78
RX000474,C0082,P005,2024-12-04,14,10
RX000475,C0089,P007,2024-12-02,29,20
RX000476,C0089,P018,2024-12-15,54,32
RX000477,C0077,P015,2024-12-24,117,94
RX000478,C0062,P016,2024-12-05,26,20
RX000479,C0087,P014,2024-12-03,108,97
RX000480,C0072,P021,2024-12-18,71,61
RX000481,C0073,P027,2024-12-08,96,76
RX000482,C0077,P027,2024-12-06,42,38
RX000483,C0099,P004,2024-12-27,64,56
RX000484,C0113,P006,2024-12-04,71,65
RX000485,C0096,P007,2024-12-28,50,33
RX000486,C0119,P014,2024-12-13,89,69
RX000487,C0115,P018,2024-12-13,111,70
RX000488,C0011,P005,2025-01-27,72,63
RX000489,C0029,P002,2025-01-12,49,42
RX000490,C0029,P005,2025-01-11,15,12
RX000491,C0014,P008,2025-01-15,66,61
RX000492,C0005,P010,2025-01-26,95,72
RX000493,C0018,P013,2025-01-10,21,14
RX000494,C0003,P016,2025-01-21,37,24
RX000495,C0010,P018,2025-01-03,42,33
RX000496,C0028,P016,2025-01-25,25,15
RX000497,C0004,P018,2025-01-11,54,32
RX000498,C0014,P023,2025-01-25,95,84
RX000499,C0020,P019,2025-01-17,75,58
RX000500,C0020,P021,2025-01-13,51,40
RX000501,C0012,P023,2025-01-18,120,105
RX000502,C0009,P026,2025-01-11,118,107
RX000503,C0012,P026,2025-01-06,29,18
RX000504,C0024,P027,2025-01-24,57,38
RX000505,C0051,P006,2025-01-07,46,37
RX000506,C0047,P006,2025-01-01,23,19
RX000507,C0036,P003,2025-01-16,94,71
RX000508,C0055,P006,2025-01-11,55,37
RX000509,C0043,P002,2025-01-09,42,26
RX000510,C0053,P009,2025-01-04,113,72
RX000511,C0038,P017,2025-01-24,81,65
RX000512,C0046,P016,2025-01-16,90,59
RX000513,C0040,P018,2025-01-06,119,109
RX000514,C0047,P014,2025-01-14,105,91
RX000515,C0059,P019,2025-01-28,48,38
RX000516,C0035,P022,2025-01-28,51,41
RX000517,C0050,P024,2025-01-04,67,42
RX000518,C0045,P026,2025-01-12,113,100
RX000519,C0039,P027,2025-01-24,102,68
RX000520,C0069,P005,2025-01-05,50,31
RX000521,C0061,P002,2025-01-19,44,27
RX000522,C0082,P002,2025-01-20,114,90
RX000523,C0069,P002,2025-01-20,94,87
RX000524,C0062,P011,2025-01-19,99,90
RX000525,C0089,P011,2025-01-20,57,43
RX000526,C0063,P017,2025-01-20,70,43
RX000527,C0070,P013,2025-01-13,86,79
RX000528,C0070,P017,2025-01-02,70,65
RX000529,C0074,P021,2025-01-03,46,32
RX000530,C0064,P024,2025-01-22,11,8
RX000531,C0082,P023,2025-01-17,66,60
RX000532,C0067,P028,2025-01-27,50,40
RX000533,C0095,P011,2025-01-06,21,16
RX000534,C0101,P017,2025-01-26,69,57
RX000535,C0113,P017,2025-01-25,105,71
RX000536,C0101,P019,2025-01-13,40,35
RX000537,C0110,P027,2025-01-04,69,63
RX000538,C0009,P003,2025-02-19,98,88
RX000539,C0025,P001,2025-02-03,76,56
RX000540,C0016,P004,2025-02-21,54,45
RX000541,C0016,P006,2025-02-03,119,76
RX000542,C0006,P008,2025-02-15,70,55
RX000543,C0012,P009,2025-02-23,56,40
RX000544,C0023,P013,2025-02-25,66,43
RX000545,C0019,P015,2025-02-26,34,26
RX000546,C0019,P017,2025-02-22,12,10
RX000547,C0004,P013,2025-02-28,118,89
RX000548,C0020,P024,2025-02-21,30,18
RX000549,C0025,P021,2025-02-03,80,49
RX000550,C0007,P019,2025-02-10,92,68
RX000551,C0028,P019,2025-02-12,33,28
RX000552,C0029,P027,2025-02-22,75,64
RX000553,C0004,P025,2025-02-17,79,50
RX000554,C0041,P005,2025-02-21,97,72
RX000555,C0035,P009,2025-02-05,30,19
RX000556,C0038,P018,2025-02-19,42,32
RX000557,C0036,P019,2025-02-13,29,24
RX000558,C0047,P024,2025-02-14,69,46
RX000559,C0052,P019,2025-02-22,74,51
RX000560,C0055,P028,2025-02-22,81,49
RX000561,C0061,P006,2025-02-24,58,41
RX000562,C0082,P005,2025-02-17,30,24
RX000563,C0067,P018,2025-02-09,12,7
RX000564,C0077,P018,2025-02-27,56,38
RX000565,C0086,P020,2025-02-19,25,17
RX000566,C0090,P021,2025-02-03,41,37
RX000567,C0094,P002,2025-02-03,57,45
RX000568,C0118,P001,2025-02-08,77,52
RX000569,C0116,P016,2025-02-23,89,66
RX000570,C0117,P015,2025-02-05,108,84
RX000571,C0104,P017,2025-02-03,94,86
RX000572,C0101,P024,2025-02-28,116,105
RX000573,C0010,P004,2025-03-13,91,68
RX000574,C0002,P003,2025-03-14,120,73
RX000575,C0022,P001,2025-03-26,110,74
RX000576,C0010,P001,2025-03-27,43,34
RX000577,C0018,P003,2025-03-07,94,79
RX000578,C0006,P011,2025-03-02,55,47
RX000579,C0027,P010,2025-03-18,61,41
RX000580,C0009,P018,2025-03-26,17,11
RX000581,C0003,P014,2025-03-23,69,54
RX000582,C0001,P019,2025-03-04,79,51
RX000583,C0016,P020,2025-03-22,21,13
RX000584,C0012,P022,2025-03-14,29,18
RX000585,C0026,P028,2025-03-26,64,47
RX000586,C0026,P027,2025-03-10,66,43
RX000587,C0057,P002,2025-03-22,95,78
RX000588,C0040,P006,2025-03-01,78,74
RX000589,C0055,P001,2025-03-27,83,52
RX000590,C0043,P003,2025-03-11,50,30
RX000591,C0060,P006,2025-03-24,75,55
RX000592,C0038,P008,2025-03-21,59,42
RX000593,C0048,P007,2025-03-08,26,18
RX000594,C0053,P012,2025-03-05,7,5
RX000595,C0043,P007,2025-03-06,38,25
RX000596,C0040,P016,2025-03-01,27,22
RX000597,C0047,P017,2025-03-24,119,101
RX000598,C0044,P018,2025-03-22,19,16
RX000599,C0050,P023,2025-03-13,30,26
RX000600,C0052,P022,2025-03-19,100,90
RX000601,C0035,P019,2025-03-17,17,15
RX000602,C0082,P004,2025-03-26,75,48
RX000603,C0069,P002,2025-03-17,78,49
RX000604,C0071,P017,2025-03-16,90,58
RX000605,C0087,P013,2025-03-12,6,3
